alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,25,4,0.9,0.9,0.005,50,1,20,100,0.02592,0.00778,2.86,0,100
2,16x16,,2205,,25,4,0.9,0.9,0.005,50,1,20,100,0.04189,0.03394,4.57,0,100
2,16x16,,2211,,25,4,0.9,0.9,0.005,50,1,20,100,0.02345,0.00821,2.89,0,100
2,16x16,,2214,,25,4,0.9,0.9,0.005,50,1,20,100,0.02459,0.00665,3.11,0,100
2,16x16,,2223,,25,4,0.9,0.9,0.005,50,1,20,100,0.03521,0.01947,3.63,0,100
2,16x16,,2228,,25,4,0.9,0.9,0.005,50,1,20,100,0.10933,0.17608,10.96,0,100
2,16x16,,2230,,25,4,0.9,0.9,0.005,50,1,20,100,0.02947,0.01662,3.41,0,100
2,16x16,,2233,,25,4,0.9,0.9,0.005,50,1,20,100,0.0312,0.03748,3.44,0,100
2,16x16,,2234,,25,4,0.9,0.9,0.005,50,1,20,100,0.03164,0.01507,3.66,0,100
2,16x16,,2237,,25,4,0.9,0.9,0.005,50,1,20,100,0.15987,0.40028,14.48,5,95
2,16x16,,2251,,25,4,0.9,0.9,0.005,50,1,20,100,0.01942,0.01125,2.26,0,100
2,16x16,,2256,,25,4,0.9,0.9,0.005,50,1,20,100,0.09321,0.15913,9.75,1,99
2,16x16,,2265,,25,4,0.9,0.9,0.005,50,1,20,100,0.01549,0.00484,1.58,0,100
2,16x16,,2280,,25,4,0.9,0.9,0.005,50,1,20,100,0.02514,0.00563,2.5,0,100
2,16x16,,2281,,25,4,0.9,0.9,0.005,50,1,20,100,0.02462,0.00938,3,0,100
2,16x16,,2288,,25,4,0.9,0.9,0.005,50,1,20,100,0.10927,0.14928,11.97,0,100
2,16x16,,2291,,25,4,0.9,0.9,0.005,50,1,20,100,0.02429,0.01209,2.17,0,100
2,16x16,,2292,,25,4,0.9,0.9,0.005,50,1,20,100,0.04694,0.10363,4.67,0,100
2,16x16,,2297,,25,4,0.9,0.9,0.005,50,1,20,100,0.05436,0.05414,5.59,0,100
2,16x16,,2300,,25,4,0.9,0.9,0.005,50,1,20,100,0.02537,0.05129,3.07,0,100
2,16x16,,2314,,25,4,0.9,0.9,0.005,50,1,20,100,0.03033,0.01263,2.63,0,100
2,16x16,,2330,,25,4,0.9,0.9,0.005,50,1,20,100,0.01552,0.00515,1.55,0,100
2,16x16,,2333,,25,4,0.9,0.9,0.005,50,1,20,100,0.02677,0.00729,2.16,0,100
2,16x16,,2338,,25,4,0.9,0.9,0.005,50,1,20,100,0.03487,0.01496,3.56,0,100
2,16x16,,2349,,25,4,0.9,0.9,0.005,50,1,20,100,0.52596,1.31987,39.55,12,88
2,16x16,,2350,,25,4,0.9,0.9,0.005,50,1,20,100,0.02358,0.00533,2.88,0,100
2,16x16,,2354,,25,4,0.9,0.9,0.005,50,1,20,100,0.889,1.91198,74.87,21,79
2,16x16,,2355,,25,4,0.9,0.9,0.005,50,1,20,100,0.02409,0.00555,2.65,0,100
2,16x16,,2357,,25,4,0.9,0.9,0.005,50,1,20,100,0.22314,0.90459,17.91,6,94
2,16x16,,2367,,25,4,0.9,0.9,0.005,50,1,20,100,0.02435,0.00974,2.52,0,100
2,16x16,,2370,,25,4,0.9,0.9,0.005,50,1,20,100,0.01483,0.00499,1.72,0,100
2,16x16,,2371,,25,4,0.9,0.9,0.005,50,1,20,100,0.12308,0.25625,12.86,1,99
2,16x16,,2374,,25,4,0.9,0.9,0.005,50,1,20,100,0.03572,0.04218,3.51,0,100
2,16x16,,2379,,25,4,0.9,0.9,0.005,50,1,20,100,0.04706,0.06951,5.59,0,100
