alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01709,0.00795,3.83,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.0252,0.02423,5.7,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01174,0.00436,3.61,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01781,0.03224,5.15,1,99
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01441,0.00486,3.87,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.06133,0.07172,14.48,3,97
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01608,0.00749,3.98,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.0169,0.01805,4.25,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02688,0.02741,5.83,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.09136,0.18843,14.28,8,92
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01681,0.01469,2.84,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.03783,0.02913,8.82,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.00928,0.00287,1.92,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01557,0.0141,4.01,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01472,0.03552,4.47,1,99
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.03986,0.06281,9.23,1,99
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01234,0.00631,2.64,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02209,0.03275,4.33,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02673,0.02882,7.64,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01242,0.01104,2.72,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02093,0.01817,4.03,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01401,0.01901,2.3,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01412,0.00777,2.42,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02179,0.02107,4.33,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.42573,1.01891,63.92,25,75
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01215,0.0049,3.66,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,98,1.29101,2.71031,168.95,40,58
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02216,0.01684,3.43,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.14094,0.43387,14.25,6,94
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02746,0.0187,3.29,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01692,0.01155,2.19,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.13359,0.36356,16.04,6,94
2,16x16,,2374,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.04121,0.05604,5.01,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.07867,0.16705,10.22,2,98
2,16x16,,2383,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01631,0.01115,2.42,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.04996,0.10918,7.53,2,98
2,16x16,,2390,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,91,0.65643,2.31663,58.99,11,80
2,16x16,,2395,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02269,0.0109,2.74,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,1.22208,2.60523,129.55,49,51
2,16x16,,2407,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01454,0.03841,3.64,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.05578,0.07831,13.55,2,98
2,16x16,,2418,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01129,0.00509,3.14,0,100
2,16x16,,2435,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02998,0.03264,6.88,0,100
2,16x16,,2436,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.02177,0.03144,5.93,0,100
2,16x16,,2443,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.13111,0.38519,26.11,12,88
2,16x16,,2446,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.00834,0.00335,2.02,0,100
2,16x16,,2448,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.14084,0.26086,29.92,16,84
2,16x16,,2449,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.01122,0.00229,2.68,0,100
2,16x16,,2451,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,60,10,200,20,100,0.00686,0.00389,2.1,0,100
