alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01688,0.00938,3.85,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02624,0.03336,6.06,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01271,0.00448,3.43,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01772,0.03103,4.8,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01739,0.00764,4.0,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.0707,0.09346,16.71,3,97
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02247,0.01799,4.04,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.03894,0.08048,6.73,1,99
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02887,0.03168,5.95,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.14419,0.26341,28.12,13,87
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01448,0.00616,3.11,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.06158,0.12083,12.53,1,99
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01122,0.00393,1.94,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01793,0.00981,3.27,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01522,0.00538,3.35,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.04507,0.04986,10.55,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01929,0.0176,2.83,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02611,0.05348,5.43,1,99
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.03537,0.03746,6.95,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01162,0.00507,2.66,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01885,0.00872,4.02,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01135,0.00894,2.47,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01285,0.00342,2.41,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02195,0.02018,4.24,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.20473,0.3505,36.49,12,88
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01515,0.00809,3.75,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,1.13464,2.09417,241.3,37,63
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01348,0.00417,3.36,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.26135,1.79802,53.96,6,94
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01547,0.0076,3.53,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.00879,0.00249,2.23,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.0302,0.03759,7.78,0,100
2,16x16,,2374,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01892,0.01581,4.14,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.03335,0.05412,9.4,1,99
2,16x16,,2383,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01054,0.00387,2.59,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.02957,0.05746,9.2,1,99
2,16x16,,2390,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,91.0,0.46526,2.51566,101.71,4,87
2,16x16,,2395,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01757,0.01618,2.98,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.63646,1.09824,128.91,32,68
2,16x16,,2407,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,20.0,100.0,0.01007,0.00643,2.41,0,100
