alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01812,0.02621,4.62,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0213,0.02131,5.55,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01015,0.00582,3.4,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01816,0.00879,3.89,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01707,0.00842,3.89,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05479,0.07021,12.5,0,100
2,16x16,,2230,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01711,0.0212,4.36,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03033,0.07203,7.68,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02111,0.01461,5.34,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11154,0.1941,21.84,7,93
2,16x16,,2251,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01298,0.00703,3.09,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03616,0.03727,8.44,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00903,0.00305,1.95,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01334,0.00678,2.99,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01262,0.00489,3.4,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04181,0.06077,10.14,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01294,0.0075,2.73,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0196,0.02383,4.19,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03914,0.06132,9.19,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0086,0.0021,2.61,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02149,0.04154,4.78,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.009,0.00593,2.45,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01099,0.00342,2.49,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02273,0.01438,5.05,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.25044,0.42749,43.24,17,83
2,16x16,,2350,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01735,0.01509,3.4,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.06015,2.11093,164.2,39,61
2,16x16,,2355,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01229,0.00379,3.17,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09567,0.22765,15.53,4,96
2,16x16,,2367,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02047,0.01197,3.6,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01017,0.00409,2.23,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05164,0.08369,13.03,1,99
2,16x16,,2374,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03372,0.07621,7.11,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03803,0.05123,9.71,0,100
2,16x16,,2383,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0094,0.0035,2.63,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02894,0.08928,8.32,1,99
2,16x16,,2390,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,92.0,0.92546,3.56118,159.34,10,82
2,16x16,,2395,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01056,0.0036,2.93,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.75203,1.17256,140.86,40,60
2,16x16,,2407,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00721,0.00251,2.39,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03285,0.04164,9.19,0,100
2,16x16,,2418,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01139,0.00474,3.05,0,100
2,16x16,,2435,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04016,0.05466,8.94,0,100
2,16x16,,2436,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02261,0.034,5.77,0,100
2,16x16,,2443,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09784,0.28551,20.2,7,93
2,16x16,,2446,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00786,0.00192,2.01,0,100
2,16x16,,2448,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.12663,0.22736,28.28,9,91
2,16x16,,2449,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01362,0.00297,2.75,0,100
2,16x16,,2451,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00787,0.00427,2.16,0,100
2,16x16,,2452,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01999,0.02709,5.38,0,100
2,16x16,,2454,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03511,0.1821,6.75,2,98
2,16x16,,2456,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01132,0.0044,2.53,0,100
2,16x16,,2467,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01113,0.00635,3.65,0,100
2,16x16,,2468,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02079,0.04065,4.69,0,100
2,16x16,,2471,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01466,0.01198,3.79,0,100
2,16x16,,2475,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01404,0.00343,3.63,0,100
2,16x16,,2477,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01117,0.00343,2.65,0,100
2,16x16,,2478,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01322,0.00592,3.3,0,100
2,16x16,,2483,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02191,0.02969,6.2,0,100
2,16x16,,2491,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01168,0.00388,3.55,0,100
2,16x16,,2507,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01436,0.01172,3.81,0,100
2,16x16,,2522,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.13045,0.18546,27.73,7,93
2,16x16,,2525,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.1436,0.48282,22.51,6,94
2,16x16,,2526,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.10086,0.22351,18.68,5,95
2,16x16,,2534,,10,4,0.9,0.9,0.0125,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01087,0.00398,3.31,0,100
