alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01462,0.00989,4.18,0,100
2,16x16,,2205,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03003,0.07734,6.98,2,98
2,16x16,,2211,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01096,0.00581,3.32,0,100
2,16x16,,2214,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01412,0.00845,4.47,0,100
2,16x16,,2223,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.0154,0.00866,4.42,0,100
2,16x16,,2228,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03998,0.03799,11.34,0,100
2,16x16,,2230,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01385,0.00719,4.01,0,100
2,16x16,,2233,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03643,0.09244,10.0,1,99
2,16x16,,2234,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02164,0.02487,6.32,0,100
2,16x16,,2237,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.05811,0.10834,12.77,2,98
2,16x16,,2251,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01108,0.00492,3.23,0,100
2,16x16,,2256,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.04246,0.0576,9.97,0,100
2,16x16,,2265,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.00964,0.00289,2.07,0,100
2,16x16,,2280,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01867,0.00858,3.17,0,100
2,16x16,,2281,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01753,0.00876,3.54,0,100
2,16x16,,2288,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.04227,0.0457,8.93,0,100
2,16x16,,2291,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01337,0.00608,2.52,0,100
2,16x16,,2292,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02142,0.02157,4.53,0,100
2,16x16,,2297,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02535,0.01694,5.63,0,100
2,16x16,,2300,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01638,0.01325,2.83,0,100
2,16x16,,2314,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02726,0.03226,4.2,0,100
2,16x16,,2330,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01795,0.014,3.26,0,100
2,16x16,,2333,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01418,0.00378,2.33,0,100
2,16x16,,2338,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02061,0.01377,4.54,0,100
2,16x16,,2349,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.16491,0.27485,24.29,5,95
2,16x16,,2350,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01936,0.01769,4.19,0,100
2,16x16,,2354,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,1.13942,1.86618,92.51,23,77
2,16x16,,2355,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03069,0.0207,3.39,0,100
2,16x16,,2357,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.13093,0.52722,12.31,1,99
2,16x16,,2367,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03303,0.02995,3.68,0,100
2,16x16,,2370,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01509,0.00441,2.1,0,100
2,16x16,,2371,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.06992,0.0767,8.12,0,100
2,16x16,,2374,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.04841,0.04742,4.46,0,100
2,16x16,,2379,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.08737,0.11977,10.32,0,100
2,16x16,,2383,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01951,0.0065,2.49,0,100
2,16x16,,2388,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03357,0.04452,5.1,0,100
2,16x16,,2390,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.49931,1.43234,51.03,12,88
2,16x16,,2395,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02112,0.00965,2.76,0,100
2,16x16,,2405,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.90846,1.24835,83.29,31,69
2,16x16,,2407,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02277,0.02631,3.56,0,100
2,16x16,,2411,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.07582,0.07685,7.96,0,100
2,16x16,,2418,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02934,0.01699,3.13,0,100
2,16x16,,2435,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.06158,0.0775,5.39,0,100
2,16x16,,2436,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.04552,0.02921,4.95,0,100
2,16x16,,2443,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.17809,0.40918,17.46,5,95
2,16x16,,2446,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01723,0.00486,1.96,0,100
2,16x16,,2448,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.13842,0.19485,16.9,1,99
2,16x16,,2449,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.02555,0.01137,2.77,0,100
2,16x16,,2451,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.01486,0.01493,2.31,0,100
2,16x16,,2452,,10,4,0.7,0.9,0.005,50,1,20.0,100.0,0.03145,0.02511,4.73,0,100
