alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02258,0.01254,3.81,0,100
2,16x16,,2205,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04586,0.09862,7.58,1,99
2,16x16,,2211,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01807,0.01407,3.6,0,100
2,16x16,,2214,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02222,0.01834,4.63,0,100
2,16x16,,2223,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03966,0.05972,4.58,0,100
2,16x16,,2228,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14549,0.24002,19.91,3,97
2,16x16,,2230,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03353,0.10448,5.65,1,99
2,16x16,,2233,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.027,0.04671,5.25,0,100
2,16x16,,2234,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02946,0.02273,5.23,0,100
2,16x16,,2237,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.12125,0.25654,16.9,5,95
2,16x16,,2251,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02389,0.02309,3.02,0,100
2,16x16,,2256,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.1296,0.23512,15.47,4,96
2,16x16,,2265,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01892,0.00662,1.99,0,100
2,16x16,,2280,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03887,0.0553,3.59,0,100
2,16x16,,2281,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02513,0.05636,4.42,0,100
2,16x16,,2288,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07526,0.11256,9.18,0,100
2,16x16,,2291,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03152,0.02622,2.81,0,100
2,16x16,,2292,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07507,0.17897,6.96,1,99
2,16x16,,2297,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07046,0.08804,7.41,0,100
2,16x16,,2300,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03184,0.0355,3.24,0,100
2,16x16,,2314,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04016,0.04126,3.81,0,100
2,16x16,,2330,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02579,0.01802,2.82,0,100
2,16x16,,2333,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02618,0.00711,2.36,0,100
2,16x16,,2338,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04984,0.02891,4.64,0,100
2,16x16,,2349,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.09306,2.44288,67.79,22,78
2,16x16,,2350,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03101,0.02348,3.78,0,100
2,16x16,,2354,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,95.0,2.05805,3.29727,144.75,41,54
2,16x16,,2355,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0277,0.00792,3.46,0,100
2,16x16,,2357,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.24112,0.57612,18.16,8,92
2,16x16,,2367,,10,4,0.9,0.7,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03665,0.031,3.85,0,100
