alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01457,0.00838,3.89,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02955,0.08327,7.17,1,99
2,16x16,,2211,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01271,0.00618,3.75,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01895,0.01803,4.31,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01834,0.0107,4.14,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07324,0.09398,18.42,3,97
2,16x16,,2230,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01444,0.00752,3.88,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01813,0.02915,4.8,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02126,0.01221,5.1,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.13146,0.25076,26.23,11,89
2,16x16,,2251,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01294,0.00884,2.99,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04312,0.07568,10.39,1,99
2,16x16,,2265,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01009,0.00465,1.94,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01362,0.01041,3.02,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01209,0.00727,3.42,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03924,0.0729,9.69,1,99
2,16x16,,2291,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01178,0.00468,2.86,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02021,0.03068,5.38,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03167,0.04802,7.98,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00978,0.00478,2.73,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01349,0.00539,3.18,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01041,0.00757,2.56,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01185,0.0059,2.46,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01863,0.01208,4.57,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.23272,0.64476,47.95,12,88
2,16x16,,2350,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01367,0.00835,3.49,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.78124,1.49917,156.32,34,66
