alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01388,0.00683,3.52,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.02311,0.0163,5.19,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01296,0.00548,3.7,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01376,0.01129,4.43,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01448,0.006,4.08,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.07584,0.13748,15.56,1,99
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01806,0.01498,4.42,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01771,0.00925,3.68,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.0282,0.05666,7.09,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.1047,0.21955,18.61,5,95
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01122,0.00582,2.91,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.03295,0.02467,8.78,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.00783,0.00245,1.87,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.0001,0.995,100,10,200,20.0,100.0,0.01299,0.01196,3.33,0,100
