alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.24011,0.56858,44.38,14,86
2,16x16,,2205,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.24912,0.45405,57.35,17,83
2,16x16,,2211,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09252,0.23565,26.0,6,94
2,16x16,,2214,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11878,0.25553,34.14,11,89
2,16x16,,2223,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09434,0.19297,24.21,10,90
2,16x16,,2228,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.53472,0.84244,122.78,36,64
2,16x16,,2230,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.17963,0.30928,43.06,18,82
2,16x16,,2233,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.04144,2.46249,221.16,31,69
2,16x16,,2234,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.15461,0.33463,38.79,13,87
2,16x16,,2237,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.00795,1.47894,193.4,56,44
2,16x16,,2251,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.06949,0.15205,18.55,5,95
2,16x16,,2256,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.45807,0.87055,88.12,34,66
2,16x16,,2265,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01042,0.00597,2.57,0,100
2,16x16,,2280,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.13308,0.32333,26.76,7,93
2,16x16,,2281,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.12981,0.27738,32.23,13,87
2,16x16,,2288,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.23289,0.32844,52.5,16,84
2,16x16,,2291,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05794,0.12166,11.24,1,99
2,16x16,,2292,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.39727,0.84655,79.82,20,80
2,16x16,,2297,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.2845,0.4395,66.17,23,77
2,16x16,,2300,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07531,0.15278,21.53,6,94
2,16x16,,2314,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.10548,0.18336,26.17,10,90
2,16x16,,2330,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.13719,0.39861,35.41,10,90
2,16x16,,2333,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02491,0.04894,5.44,0,100
2,16x16,,2338,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09512,0.21592,21.2,6,94
2,16x16,,2349,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,2.40505,2.70893,335.17,63,37
2,16x16,,2350,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.83612,2.11215,151.99,24,76
2,16x16,,2354,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,97.0,3.35876,3.73771,553.74,71,26
2,16x16,,2355,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03601,0.07026,9.09,1,99
2,16x16,,2357,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,96.0,2.0564,4.06675,353.17,43,53
2,16x16,,2367,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.49419,0.91628,91.81,25,75
2,16x16,,2370,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09083,0.3555,19.82,5,95
2,16x16,,2371,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.61117,0.97818,125.46,35,65
2,16x16,,2374,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.26483,0.46579,52.11,16,84
2,16x16,,2379,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.35351,0.54118,75.82,28,72
2,16x16,,2383,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11284,0.33291,25.76,9,91
2,16x16,,2388,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.69319,1.28409,161.65,27,73
2,16x16,,2390,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,92.0,3.50023,5.01531,580.2,47,45
2,16x16,,2395,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09168,0.24947,19.4,8,92
2,16x16,,2405,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,3.87599,4.50999,595.21,75,25
2,16x16,,2407,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.12757,0.31752,33.95,10,90
2,16x16,,2411,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.35556,0.59582,68.61,19,81
2,16x16,,2418,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11116,0.28861,23.38,8,92
2,16x16,,2435,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14387,0.2142,28.72,8,92
2,16x16,,2436,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.1499,0.35466,32.0,10,90
2,16x16,,2443,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.44555,2.01843,281.2,53,47
2,16x16,,2446,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03053,0.15073,7.14,2,98
2,16x16,,2448,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.03334,1.22023,215.39,56,44
2,16x16,,2449,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02098,0.02175,4.73,0,100
2,16x16,,2451,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11383,0.22641,28.84,10,90
2,16x16,,2452,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.1853,0.33026,40.83,15,85
2,16x16,,2454,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.86114,1.49449,177.66,32,68
2,16x16,,2456,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.38881,1.0635,78.21,18,82
2,16x16,,2467,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.31986,0.59946,76.91,25,75
2,16x16,,2468,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.19107,0.38647,38.9,14,86
2,16x16,,2471,,10,1,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.27581,0.67899,59.53,14,86
