alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02304,0.035,5.96,0,100
2,16x16,,2205,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.13375,0.46474,23.33,2,98
2,16x16,,2211,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02606,0.06294,5.89,1,99
2,16x16,,2214,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04297,0.09366,10.89,2,98
2,16x16,,2223,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04513,0.10871,8.82,1,99
2,16x16,,2228,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.20492,0.43096,32.6,4,96
2,16x16,,2230,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05683,0.14415,10.5,4,96
2,16x16,,2233,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.27055,0.99505,32.59,10,90
2,16x16,,2234,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.06011,0.12271,12.36,3,97
2,16x16,,2237,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.61727,0.96768,82.26,31,69
2,16x16,,2251,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04145,0.09202,8.42,2,98
2,16x16,,2256,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.22514,0.39047,35.46,10,90
2,16x16,,2265,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01332,0.00768,2.2,0,100
2,16x16,,2280,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07211,0.14943,9.5,2,98
2,16x16,,2281,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.06845,0.1657,11.22,2,98
2,16x16,,2288,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.17505,0.27414,28.48,11,89
2,16x16,,2291,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01804,0.01614,3.51,0,100
2,16x16,,2292,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.16753,0.66172,24.55,7,93
2,16x16,,2297,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.10253,0.23172,20.52,5,95
2,16x16,,2300,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0411,0.1553,9.16,2,98
2,16x16,,2314,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03517,0.05894,7.59,0,100
2,16x16,,2330,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02531,0.07315,5.77,1,99
2,16x16,,2333,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01324,0.00448,2.65,0,100
2,16x16,,2338,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03515,0.04098,8.27,0,100
2,16x16,,2349,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,1.32486,2.24293,142.04,33,67
2,16x16,,2350,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.56004,2.3999,41.34,6,94
2,16x16,,2354,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,96.0,3.01084,4.3102,283.15,52,44
2,16x16,,2355,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03222,0.03111,4.02,0,100
2,16x16,,2357,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,99.0,0.9139,2.71578,90.38,23,76
2,16x16,,2367,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.27869,0.94826,29.14,8,92
2,16x16,,2370,,10,2,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01905,0.01368,2.67,0,100
