alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.99773,1.03135,43.27,7,93
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.48529,0.2663,22.36,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.54677,2.74873,58.65,10,90
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.52035,1.7409,60.66,8,92
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.91696,1.02371,37.22,5,95
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.52777,1.96198,58.64,11,89
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.08988,1.17108,39.64,5,95
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.68838,0.50784,25.14,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.82208,0.61499,30.45,1,99
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.07747,1.82167,38.06,4,96
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,72,7.07782,11.53848,272.68,45,27
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,2.73242,5.56518,119.4,29,70
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,4.17177,8.95166,156.27,35,65
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,96,7.52679,14.95831,167.19,38,58
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,5.55964,8.62106,138.88,33,66
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,3.62585,6.71598,90.91,26,74
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,96,2.14089,3.40969,57.98,10,86
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,2.65319,3.94817,73.03,18,81
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.79186,0.932,23.39,2,98
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,96,4.56636,4.6854,117.06,37,59
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,1.27341,1.59166,58.43,14,85
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,1.45636,1.69843,65.68,15,85
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,0.72614,0.72675,35.05,6,94
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,100,3.74046,9.36373,129.44,30,70
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,5.35251,10.24124,192.78,40,59
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,99,1.47124,1.44936,68.86,19,80
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,92,10.46734,16.57036,415.75,71,21
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,250,120,98,2.54542,3.91836,115.14,27,71
