alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.75072,0.53881,37.5,3,97
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.44472,0.28739,21.69,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.78063,0.51715,38.23,2,98
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.09472,0.72904,52.75,8,92
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.67084,0.48272,33.12,2,98
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.99562,0.81276,50.92,10,90
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.74142,0.59136,37.3,4,96
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.48043,0.28983,23.52,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.53009,0.39869,27.45,2,98
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.547,0.40207,28.1,2,98
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,81,6.28175,12.7824,341.01,56,25
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,3.06319,8.90581,162.61,27,72
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,2.26594,3.57608,116.05,37,63
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,4.92744,14.06079,264.82,44,56
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,97,3.98168,10.71502,207.95,34,63
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.35805,1.3802,73.2,22,78
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,1.62019,3.7005,85.74,16,83
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,1.4944,1.93413,84.59,26,73
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.51077,0.78424,29.52,4,96
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,3.35939,6.85463,180.41,42,58
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,2.03356,10.82859,106.26,12,88
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.12564,1.08842,59.56,14,86
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,0.49538,0.35919,28.89,1,99
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,2.46354,4.86081,136.79,37,62
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,98,2.74627,4.08576,138.36,36,62
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.26021,1.31149,67.3,14,86
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,92,9.34907,17.76362,504.01,69,23
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,2.0947,3.04682,115.17,30,69
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,2.69322,7.52756,139.76,23,77
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.10265,1.82671,57.94,12,88
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,100,1.45094,2.02192,79.35,20,80
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,89,9.61069,22.92915,535.9,51,38
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,91,9.04055,17.76497,523.91,60,31
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,5.49099,16.5638,283.76,39,60
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.71,100,10,200,120,99,1.99242,2.38902,105.61,30,69
