alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.9282,5.61358,68.98,9,91
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.48221,0.36298,23.19,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.81276,5.00882,64.88,8,92
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,3.80895,7.03231,133.27,20,80
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.36881,2.92182,51.01,5,95
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,5.91349,11.26628,195.84,27,73
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.30736,8.45979,80.41,9,91
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.56039,0.43465,24.94,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.45838,4.6736,55.54,4,96
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.95992,1.35705,40.64,5,95
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,87,17.08858,23.70397,586.87,65,22
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,6.75912,11.99229,223.84,42,58
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,7.44376,11.77888,240.83,46,54
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,9.43045,17.63545,304.16,46,53
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,7.90496,11.42944,259.96,55,44
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,6.36348,9.97646,207.48,44,55
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,3.04137,5.37359,107.95,23,76
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.60171,3.54689,96.18,28,72
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.63428,1.19358,28.95,5,95
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,7.89757,9.53707,258.05,58,42
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,2.80336,7.28386,95.83,14,85
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.75479,4.12481,95.46,23,77
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.85501,1.76464,38.05,4,96
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,98,9.30931,12.99298,304.8,54,44
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,12.68595,16.58196,386.97,57,43
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,4.14637,6.95713,138.44,31,69
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,96,31.59132,28.16984,1006.84,87,9
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,5.40672,7.63369,186.11,49,51
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,3.9721,7.59826,139.42,27,73
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.51684,6.03526,89.37,18,82
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.85344,5.01423,103.83,26,74
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,93,19.03529,24.74971,613.58,69,24
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,86,16.06348,23.05404,539.62,56,30
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,8.24714,11.3894,272.6,56,44
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,6.82254,13.20801,226.97,52,48
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.94644,1.89312,40.42,6,94
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,3.41106,5.05116,119.88,28,72
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,90,22.09534,26.21744,717.1,69,21
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.78348,3.53711,68.55,11,89
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,2.23429,3.91807,86.07,20,79
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.42622,3.66665,57.04,11,89
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,4.50579,6.2228,159.2,41,59
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,98,6.32823,16.97094,218.68,29,69
2,25x25,45,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,8.43051,10.23752,272.55,50,50
2,25x25,45,58,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,6.53036,9.502,232.82,54,45
2,25x25,45,59,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,3.28995,9.10471,114.04,24,76
2,25x25,45,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,3.48207,5.71486,130.22,28,72
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,81,24.21997,27.76056,788.64,64,17
2,25x25,45,64,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,4.2447,6.78436,149.02,31,69
2,25x25,45,65,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,5.35072,10.09913,180.78,35,65
2,25x25,45,67,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,4.27249,7.40684,148.69,35,65
2,25x25,45,69,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,6.22341,16.16331,209.35,34,65
2,25x25,45,71,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.631,4.19571,95.03,24,76
2,25x25,45,72,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,9.62749,10.6611,323.3,67,32
2,25x25,45,73,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.76393,1.54541,35.22,4,96
2,25x25,45,75,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.20242,3.10598,81.75,25,75
2,25x25,45,76,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.12752,2.08454,49.23,8,92
2,25x25,45,77,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,95,16.87211,19.2384,560.73,70,25
2,25x25,45,82,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,96,9.23302,12.81083,312.81,58,38
2,25x25,45,83,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.75012,1.38881,32.9,4,96
2,25x25,45,84,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.78236,6.64326,102.58,23,77
2,25x25,45,85,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,5.8553,14.04493,197.68,39,61
2,25x25,45,86,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,8.6775,12.4514,282.51,55,45
2,25x25,45,87,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.56806,8.52787,92.05,12,88
2,25x25,45,88,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.33762,2.13239,54.68,12,88
2,25x25,45,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,97,8.43824,11.3661,282.6,58,39
2,25x25,45,90,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,5.07581,9.33103,171.88,31,69
2,25x25,45,92,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.9691,1.91907,42.46,8,92
2,25x25,45,93,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,97,13.53425,16.62637,446.75,67,30
2,25x25,45,95,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,95,16.01407,22.81161,529.37,63,32
2,25x25,45,96,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,1.2559,2.04213,50.21,11,89
2,25x25,45,97,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,32,22.73582,29.22479,758.22,25,7
2,25x25,45,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.85563,4.57358,106.48,25,75
2,25x25,50,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.32397,0.79046,18.67,4,96
2,25x25,50,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,2.43464,3.70707,104.28,35,65
2,25x25,50,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.1303,0.2446,10.71,0,100
2,25x25,50,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.36845,0.70522,24.13,6,94
2,25x25,50,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.12192,0.1664,9.49,0,100
2,25x25,50,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,0.43617,1.1608,26.88,3,96
2,25x25,50,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,70,8.33836,24.41791,358.2,12,58
2,25x25,50,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.07614,0.14706,7.17,0,100
2,25x25,50,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,95,1.5472,4.81668,82.8,12,83
2,25x25,50,29,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.3299,0.54279,22.53,2,98
2,25x25,50,34,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,98,2.18716,6.83452,101.96,22,76
2,25x25,50,44,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.16905,0.44887,12.18,1,99
2,25x25,50,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,98,2.43674,8.14841,107.65,17,81
2,25x25,50,51,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,89,4.27578,8.42011,195.58,42,47
2,25x25,50,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,98,3.78391,9.5514,172.55,37,61
2,25x25,50,64,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.87811,1.80098,48.63,19,81
2,25x25,50,69,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,99,3.87438,8.3583,171.24,33,66
2,25x25,50,71,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,120,100,0.65308,4.47793,35.9,1,99
