alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.88442,0.93738,40.11,6,94
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.39592,0.27948,18.85,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.80972,3.67096,55.18,8,92
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.97504,2.44514,61.09,11,89
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.27269,1.29702,44.71,8,92
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.10132,3.67474,69.71,14,86
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.18444,1.21053,40.46,4,96
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.56949,0.42882,21.89,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.66491,0.58999,24.81,1,99
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.89743,0.7922,30.75,2,98
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,83,8.93468,16.85634,313.31,50,33
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,6.91192,16.6796,113.63,25,74
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,9.01573,11.85531,142.59,46,54
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,96,6.00173,9.08669,121.03,32,64
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,98,5.41034,6.44081,117.32,33,65
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,4.54837,7.05001,93.4,25,75
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,3.23116,10.26862,92.67,18,81
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.70796,1.76557,60.62,13,87
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.43267,0.34341,21.32,0,100
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,98,4.81359,8.14813,149.52,43,55
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.25496,1.47004,56.78,16,84
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.0151,0.9463,48.77,6,94
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.82333,0.81026,34.34,3,97
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,3.33238,4.01378,130.86,40,59
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,5.22427,9.67309,204.03,49,50
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,1.39387,1.51321,68.29,19,80
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,95,11.37299,17.21744,427.36,72,23
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,2.62773,4.11723,114.32,28,71
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,1.93174,2.65898,85.68,24,75
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.26391,1.94891,48.71,7,93
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.52038,1.7295,66.42,14,86
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,92,6.42615,11.02222,261.04,54,38
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,79,15.24641,27.6224,464.44,51,28
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,5.5624,9.24335,143.82,36,63
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,4.74318,10.71939,127.43,29,70
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.29329,1.53092,38.93,7,93
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.07606,3.639,86.64,26,74
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,84,11.93339,18.87757,489.61,66,18
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.04795,1.21115,51.41,13,87
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.83451,7.6162,92.15,13,87
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.64178,0.60032,34.15,3,97
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,2.48163,5.38807,112.26,25,74
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.04579,12.10102,129.4,20,80
