alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.37603,3.0081,62.65,10,90
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.57265,0.73721,25.88,1,99
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.79348,4.72025,64.8,6,94
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.90229,8.94213,137.93,22,78
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.29886,3.91521,48.38,4,96
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,4.30422,8.06722,150.46,24,76
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.30723,7.46541,74.82,13,87
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.85705,1.03621,27.11,4,96
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.85823,0.67518,24.41,1,99
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.26228,1.98872,36.45,4,96
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,92.0,14.66174,19.077,617.11,70,22
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,4.15537,9.89289,193.91,37,62
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,6.28844,9.20761,281.12,51,49
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,7.50273,10.88928,355.56,56,42
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,6.58794,10.73555,292.78,51,49
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,4.56697,9.60106,197.54,34,66
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,1.52213,3.25278,70.37,14,85
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.67276,2.36449,82.22,24,76
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.53965,0.7284,27.1,4,96
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,6.70718,12.54619,262.24,50,48
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.05498,9.50853,125.0,17,83
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.32726,3.17599,97.02,26,74
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.74267,1.96965,33.45,4,96
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,5.50372,5.84667,217.37,53,47
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,6.52809,9.61257,252.55,51,47
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.85793,4.25154,116.54,31,69
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,91.0,23.29167,23.38527,954.37,77,14
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,5.33059,8.6414,237.31,45,55
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.24684,3.76357,102.51,25,75
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.43086,2.47129,67.06,14,86
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,3.23669,5.06071,146.2,34,65
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,12.76394,17.73327,542.18,70,28
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,94.0,17.33911,20.19649,513.17,67,27
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,97.0,11.60699,12.98986,254.49,58,39
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,8.39286,9.91483,189.78,51,49
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.24932,8.69869,71.47,14,86
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,6.51467,11.24734,149.86,38,62
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,93.0,24.29471,23.97294,828.96,80,13
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.41492,2.91794,56.12,9,91
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.3457,2.37495,55.2,10,90
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.49618,2.78084,57.94,15,85
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,5.73812,11.1279,201.3,38,61
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,4.0981,6.91263,152.12,30,70
2,25x25,45,57,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,9.12923,17.53132,283.37,40,59
2,25x25,45,58,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,6.55009,9.85279,246.81,49,51
2,25x25,45,59,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.5266,3.53996,106.67,29,71
2,25x25,45,62,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.08434,9.19204,134.49,24,76
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,83.0,23.51929,24.9124,1037.63,74,9
2,25x25,45,64,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.86402,5.34053,152.08,35,65
2,25x25,45,65,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.19008,3.08197,116.02,29,71
2,25x25,45,67,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,4.25909,11.86864,216.64,41,59
2,25x25,45,69,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,5.08931,10.25247,269.5,47,51
2,25x25,45,71,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.46423,2.57732,73.85,18,82
2,25x25,45,72,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,7.84133,9.66113,397.8,64,34
2,25x25,45,73,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.48535,0.37781,29.27,1,99
2,25x25,45,75,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.35462,2.17715,73.28,19,81
2,25x25,45,76,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.71193,0.91931,41.98,7,93
2,25x25,45,77,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,97.0,17.96753,22.28354,807.46,76,21
2,25x25,45,82,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,7.7894,9.05379,306.04,62,38
2,25x25,45,83,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.61882,0.70137,27.88,2,98
2,25x25,45,84,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.50409,11.33293,146.47,23,77
2,25x25,45,85,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,5.21361,5.8418,222.45,53,46
2,25x25,45,86,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,5.63835,6.7214,232.92,53,47
2,25x25,45,87,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,2.00941,2.92726,88.16,23,77
2,25x25,45,88,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.34864,2.01771,61.62,15,85
2,25x25,45,89,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,7.86087,11.93618,322.96,64,36
2,25x25,45,90,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.7354,7.11822,157.84,29,71
2,25x25,45,92,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.1206,2.24875,51.17,9,91
2,25x25,45,93,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,7.31047,8.78474,303.03,62,36
2,25x25,45,95,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,91.0,14.3255,18.8236,576.13,63,28
2,25x25,45,96,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.46669,2.68731,54.59,12,88
2,25x25,45,97,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,37.0,35.76422,34.21702,807.41,27,10
2,25x25,45,99,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,4.8019,7.71609,104.84,23,77
2,25x25,50,1,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.4933,1.03195,16.24,2,98
2,25x25,50,9,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.31843,6.40525,98.11,28,72
2,25x25,50,11,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.40968,0.94139,14.48,4,96
2,25x25,50,14,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.50983,0.8011,20.03,3,97
2,25x25,50,16,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.22001,0.17403,7.37,0,100
2,25x25,50,17,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,95.0,0.79741,1.47284,27.53,5,90
2,25x25,50,18,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,73.0,7.36075,21.09603,214.29,16,57
2,25x25,50,21,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.16013,0.12002,6.62,0,100
2,25x25,50,26,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,94.0,2.572,8.84229,85.21,14,80
2,25x25,50,29,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.21446,2.56223,35.02,8,92
2,25x25,50,34,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,3.47822,8.10117,92.63,18,81
2,25x25,50,44,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.38014,0.88695,12.88,2,98
2,25x25,50,50,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,1.98316,5.54314,55.85,11,87
2,25x25,50,51,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,83.0,10.1658,17.0314,276.24,42,41
2,25x25,50,57,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,97.0,5.64788,10.09586,152.76,38,59
2,25x25,50,64,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.26866,2.59027,46.46,19,81
2,25x25,50,69,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,5.05341,12.24297,159.4,31,69
2,25x25,50,71,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.55685,0.65902,21.36,2,98
2,25x25,50,80,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.52211,1.09514,19.51,4,96
2,25x25,50,82,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.93589,2.06496,33.12,5,95
2,25x25,50,83,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.78105,8.70996,51.3,3,97
2,25x25,50,86,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.62561,0.86478,26.13,5,95
2,25x25,50,91,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,98.0,6.17518,18.33528,180.14,24,74
2,25x25,50,92,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,0.18765,0.54038,7.78,1,99
2,25x25,50,93,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,3.06783,7.88322,93.58,16,84
2,25x25,50,94,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,99.0,5.15106,12.39997,139.46,25,74
2,25x25,50,99,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,120.0,100.0,1.85316,4.98432,57.76,13,87
