alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.93315,3.33286,66.04,14,86
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.5166,0.56396,23.76,1,99
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.95194,5.35942,80.48,10,90
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,2.50522,5.11846,106.89,19,81
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.29634,3.0131,55.26,6,94
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,4.01774,8.65069,163.01,21,79
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.38132,2.15373,58.34,12,88
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.51106,0.36615,23.3,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.72989,1.25098,35.37,3,97
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.89596,1.41442,38.13,7,93
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,94.0,10.3238,16.20727,561.96,70,24
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,3.60845,5.26601,211.37,42,57
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,4.82318,8.61531,265.19,53,47
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,98.0,4.71078,6.24691,280.26,49,49
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,4.9463,6.56358,285.83,56,43
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,98.0,3.22438,10.29966,181.9,29,69
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,3.06726,12.74369,172.93,26,74
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,2.07537,5.09386,124.31,28,72
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.33378,0.28582,23.0,0,100
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,6.08942,12.41562,349.21,58,42
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.32409,2.08695,79.87,19,81
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.53869,2.84045,91.91,21,79
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.16718,3.06516,63.71,12,88
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,6.05741,10.17242,350.58,56,43
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,5.67463,12.92435,314.1,44,56
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,2.48118,4.53912,127.41,27,73
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,17.92144,15.60596,1027.93,92,7
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,4.26968,8.26472,248.31,40,59
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,3.4976,7.12786,197.64,35,65
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.13588,1.56258,64.8,16,84
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,2.23483,4.17812,128.3,31,69
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,9.0111,11.55945,520.2,73,27
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,91.0,14.75361,21.30782,840.1,66,25
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,99.0,4.70743,7.28672,262.49,50,49
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,3.26933,4.3259,185.99,46,54
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.67285,0.86944,43.25,8,92
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,3.47691,12.05626,195.0,29,71
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,90.0,12.87508,19.00017,748.66,69,21
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.99808,1.84055,61.3,11,89
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,1.2745,1.94244,80.41,23,77
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,5.75,0.01,0.995,100,10,200,120.0,100.0,0.6313,1.01477,39.65,4,96
