alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.92522,1.08632,41.29,4,96
2,25x25,40,10,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.49469,0.33877,22.56,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.72428,0.46851,33.59,1,99
2,25x25,40,50,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.93223,0.67417,45.51,3,97
2,25x25,40,57,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.81156,0.65016,39.29,3,97
2,25x25,40,62,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,1.13754,1.43089,55.44,7,93
2,25x25,40,79,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.85365,0.76247,41.36,4,96
2,25x25,40,80,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.45569,0.3041,22.55,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.56427,0.30129,27.38,0,100
2,25x25,40,99,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.66495,0.49517,32.2,2,98
2,25x25,45,1,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,76,15.5591,25.27983,676.62,54,22
2,25x25,45,2,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,4.41156,11.27019,188.51,37,63
2,25x25,45,3,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,2.7014,3.54443,118.17,35,64
2,25x25,45,4,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,2.747,4.3656,131.79,36,63
2,25x25,45,6,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,3.47276,8.17889,165.84,41,59
2,25x25,45,7,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,2.44362,5.42032,103.61,26,74
2,25x25,45,8,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,1.05165,1.1843,48.95,10,90
2,25x25,45,11,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,1.83031,4.52452,77.83,20,80
2,25x25,45,14,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.54477,0.39182,26.9,0,100
2,25x25,45,15,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,3.71798,4.95918,162.8,51,48
2,25x25,45,16,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,1.65502,3.90758,79.62,13,87
2,25x25,45,17,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,1.06196,1.88522,55.35,8,92
2,25x25,45,18,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,0.60575,0.63774,34.11,5,95
2,25x25,45,19,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,100,3.77232,7.31057,175.26,44,56
2,25x25,45,21,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,4.66993,8.45163,187.18,50,49
2,25x25,45,23,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,1.45226,1.37524,62.09,16,83
2,25x25,45,24,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,86,15.55983,22.12706,519.22,73,13
2,25x25,45,26,,10,4,0.9,0.9,0.005,100,1,1.5,0.01,0.995,100,10,200,120,99,4.5654,8.98033,110.11,33,66
