alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0214,0.01726,21.28,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02729,0.01906,28.81,0,100
2,2020_00041,,,instances\9x9-database\2020_00041.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02333,0.02441,24.34,0,100
2,2020_00049,,,instances\9x9-database\2020_00049.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03104,0.02599,29.38,1,99
2,2020_00054,,,instances\9x9-database\2020_00054.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03733,0.03275,29.05,1,99
2,2020_00057,,,instances\9x9-database\2020_00057.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01719,0.01435,15.74,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03605,0.02659,33.17,0,100
2,2020_00095,,,instances\9x9-database\2020_00095.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03637,0.04103,31.38,3,97
2,2020_00153,,,instances\9x9-database\2020_00153.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06054,0.05013,40.83,2,98
2,2020_00155,,,instances\9x9-database\2020_00155.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02862,0.02203,22.04,0,100
2,2020_00159,,,instances\9x9-database\2020_00159.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04027,0.0432,30.32,0,100
2,2020_00175,,,instances\9x9-database\2020_00175.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02824,0.03627,22.82,0,100
2,2020_00177,,,instances\9x9-database\2020_00177.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04465,0.03405,39.37,3,97
2,2020_00179,,,instances\9x9-database\2020_00179.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03283,0.03076,26.66,1,99
2,2020_00203,,,instances\9x9-database\2020_00203.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03145,0.03907,22.24,1,99
2,2020_00217,,,instances\9x9-database\2020_00217.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03292,0.03149,27.5,2,98
2,2020_00223,,,instances\9x9-database\2020_00223.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02951,0.02502,23.36,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03829,0.02795,30.84,0,100
2,2020_00242,,,instances\9x9-database\2020_00242.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05769,0.04654,44.44,5,95
2,2020_00262,,,instances\9x9-database\2020_00262.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06306,0.06052,45.86,10,90
2,2020_00264,,,instances\9x9-database\2020_00264.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05123,0.03758,41.38,4,96
2,2020_00312,,,instances\9x9-database\2020_00312.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04857,0.04902,33.4,4,96
2,2020_00333,,,instances\9x9-database\2020_00333.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04056,0.04014,32.5,5,95
2,2020_00340,,,instances\9x9-database\2020_00340.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05164,0.05644,41.62,5,95
2,2020_00341,,,instances\9x9-database\2020_00341.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.07132,0.07442,49.59,13,87
2,2020_00357,,,instances\9x9-database\2020_00357.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02661,0.02555,25.28,2,98
2,2020_00358,,,instances\9x9-database\2020_00358.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02751,0.05079,20.98,0,100
2,2020_00361,,,instances\9x9-database\2020_00361.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02772,0.02205,23.22,0,100
2,2020_00363,,,instances\9x9-database\2020_00363.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03379,0.02987,31.51,2,98
2,2020_00374,,,instances\9x9-database\2020_00374.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02313,0.02133,22.75,0,100
2,2020_00376,,,instances\9x9-database\2020_00376.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02489,0.0227,24.41,0,100
2,2020_00403,,,instances\9x9-database\2020_00403.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02058,0.01984,18.65,0,100
2,2020_00427,,,instances\9x9-database\2020_00427.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03011,0.02437,29.94,0,100
2,2020_00429,,,instances\9x9-database\2020_00429.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02909,0.02366,30.03,1,99
2,2020_00439,,,instances\9x9-database\2020_00439.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.07164,0.11494,48.82,7,93
2,2020_00454,,,instances\9x9-database\2020_00454.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05277,0.05363,28.44,0,100
2,2020_00466,,,instances\9x9-database\2020_00466.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04954,0.04386,48.83,9,91
2,2020_00472,,,instances\9x9-database\2020_00472.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03857,0.0305,31.44,1,99
2,2020_00483,,,instances\9x9-database\2020_00483.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02748,0.02182,26.45,1,99
2,2020_00490,,,instances\9x9-database\2020_00490.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05036,0.04771,38.95,2,98
2,2020_00491,,,instances\9x9-database\2020_00491.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04686,0.0416,38.38,2,98
2,2020_00493,,,instances\9x9-database\2020_00493.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03208,0.02135,30.8,0,100
2,2020_00495,,,instances\9x9-database\2020_00495.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03387,0.02705,29.19,1,99
2,2020_00504,,,instances\9x9-database\2020_00504.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03739,0.0324,30.84,3,97
2,2020_00524,,,instances\9x9-database\2020_00524.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02703,0.02009,22.89,0,100
2,2020_00570,,,instances\9x9-database\2020_00570.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0457,0.0379,34.91,0,100
2,2020_00574,,,instances\9x9-database\2020_00574.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03717,0.038,26.94,3,97
2,2020_00599,,,instances\9x9-database\2020_00599.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0301,0.04041,26.39,4,96
2,2020_00616,,,instances\9x9-database\2020_00616.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02567,0.01993,24.3,0,100
2,2020_00619,,,instances\9x9-database\2020_00619.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02911,0.02844,25.53,1,99
2,2020_00625,,,instances\9x9-database\2020_00625.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03057,0.0289,24.72,0,100
2,2020_00665,,,instances\9x9-database\2020_00665.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0415,0.03752,37.8,2,98
2,2020_00684,,,instances\9x9-database\2020_00684.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03168,0.02125,26.42,0,100
2,2020_00694,,,instances\9x9-database\2020_00694.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01334,0.0173,11.48,0,100
2,2020_00696,,,instances\9x9-database\2020_00696.txt,15,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03837,0.0317,31.47,3,97
