alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.37963,1.875,46.35,7,93
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.57601,0.46336,23.17,1,99
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.9797,0.91277,39.2,3,97
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.21474,4.15845,82.67,18,82
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.02567,2.59876,41,2,98
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.71668,2.87253,64.23,9,91
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.93002,1.00377,38.07,3,97
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.61176,0.67012,23.14,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.76563,1.17237,33.65,2,98
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.68013,0.77198,27.15,1,99
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,73,13.43028,18.91124,352.36,46,27
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,98,2.51497,5.19731,106.51,21,77
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,3.32077,9.19815,129.47,32,68
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,5.13297,11.62627,248.47,37,62
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.76668,6.11651,141.99,35,65
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.05647,7.13519,104.57,19,81
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,98,1.03627,1.20716,57.04,13,85
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.28903,11.15999,117.62,20,80
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.4823,0.51583,26.95,3,97
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,2.0731,2.09832,100.92,33,66
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,1.25519,1.80394,56.75,10,89
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.60405,2.51221,69.92,14,86
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.74262,1.00839,35.16,5,95
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,4.64359,9.58215,198.38,35,65
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,98,8.14443,18.07648,325.31,42,56
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.48364,5.55437,97.43,20,80
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,94,12.53775,17.89623,492.3,69,25
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,3.95214,10.99307,160.43,36,63
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.92588,3.27682,79.32,17,83
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.00566,1.0285,43.44,8,92
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,2.57955,7.0118,104.83,15,84
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,87,4.96569,9.43572,197.3,44,43
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,92,10.37153,19.80335,413.2,60,32
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,3.17803,4.70425,122.82,32,67
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,3.20891,5.37148,123.53,29,70
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.77493,1.00674,33.74,4,96
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.5203,6.67287,99.54,20,80
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,81,12.63351,21.91321,499.46,50,31
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.82515,0.75156,37.58,4,96
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.90156,6.27449,81.78,12,88
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.80527,1.06326,35.2,6,94
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,98,3.18572,6.2862,128.03,27,71
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.1696,6.07286,89.98,15,85
2,25x25,45,57,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,4.38488,7.08479,174.76,45,54
2,25x25,45,58,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,2.83103,5.28546,121.05,36,63
2,25x25,45,59,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.52355,1.69461,63.79,16,84
2,25x25,45,62,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,2.01185,4.98054,86.8,24,75
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,70,13.86283,20.05692,535.89,53,17
2,25x25,45,64,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.40675,4.59426,98.05,18,82
2,25x25,45,65,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.16796,5.00733,87.62,16,84
2,25x25,45,67,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,2.07168,3.15407,82.85,19,81
2,25x25,45,69,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,96,4.88705,13.26055,190.75,24,72
2,25x25,45,71,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.45815,2.28342,58.85,11,89
2,25x25,45,72,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,98,5.08866,9.91528,193.85,49,49
2,25x25,45,73,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.60027,0.58549,28.22,1,99
2,25x25,45,75,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.18882,1.42431,50.36,10,90
2,25x25,45,76,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.86969,0.84294,39.25,5,95
2,25x25,45,77,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,85,12.76603,21.45019,480.75,61,24
2,25x25,45,82,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,96,6.08321,10.20534,242.86,51,45
2,25x25,45,83,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.67226,0.502,30.85,1,99
2,25x25,45,84,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,99,1.60023,2.08705,68.88,20,79
2,25x25,45,85,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,4.03439,11.0953,159.5,35,65
2,25x25,45,86,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,3.31592,6.66523,128.36,33,67
2,25x25,45,87,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.46552,2.63881,62.21,15,85
2,25x25,45,88,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.00453,1.65003,45.58,7,93
2,25x25,45,89,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,5.09829,9.05912,195.93,44,56
2,25x25,45,90,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,1.93615,3.48695,80.46,14,86
2,25x25,45,92,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.60629,0.62498,29.62,4,96
2,25x25,45,93,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,96,7.82237,19.00632,303.36,50,46
2,25x25,45,95,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,86,5.75903,13.04332,228.34,50,36
2,25x25,45,96,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,100,0.88577,0.87293,38.73,6,94
2,25x25,45,97,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,150,120,31,25.47683,34.00652,936,23,8
