alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.04524,0.0734,26.46,1,99
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.04921,0.08045,29.69,2,98
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.05615,0.08578,31.28,3,97
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.09946,0.14151,40.74,8,92
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.06514,0.08682,32.14,0,100
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.0237,0.03122,18.15,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.10307,0.13235,43.32,6,94
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.08635,0.14415,35.05,0,100
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.10048,0.13076,40.44,4,96
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.999,100,10,200,5,100,0.06149,0.09606,29.56,2,98
