alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.01787,0.0157,25.99,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.0224,0.01783,34.32,2,98
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.0175,0.02098,26.03,2,98
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.02207,0.02381,32.79,3,97
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.02006,0.01331,31.12,1,99
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.01236,0.00871,19.24,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.02911,0.02703,43.91,8,92
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.02448,0.02047,40.04,5,95
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.03253,0.02693,48.62,10,90
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.01956,0.01769,27.73,3,97
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.805,100,10,200,120,100,0.01993,0.01743,31.37,1,99
