alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02009,0.02253,25.19,1,99
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02755,0.02574,34.7,2,98
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.0229,0.02632,28.94,3,97
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03096,0.0307,35.14,4,96
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02796,0.02792,34.16,4,96
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.0159,0.01842,21.83,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03889,0.0453,42.67,7,93
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02721,0.02568,33.27,1,99
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.04402,0.04283,50.49,8,92
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.0283,0.02688,31.21,1,99
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02858,0.02892,37.21,2,98
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.01524,0.01384,23.9,0,100
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02732,0.02986,35.02,3,97
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02876,0.02783,38.43,3,97
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.01803,0.01902,24.31,0,100
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03235,0.03751,38.19,7,93
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02526,0.02288,33.3,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03115,0.0292,38.04,1,99
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.06611,0.06576,68.94,21,79
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.06527,0.07287,67.24,20,80
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.04482,0.04035,51.22,9,91
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.04079,0.05504,43.11,12,88
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03418,0.03736,38.19,6,94
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.06582,0.06769,67.6,19,81
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.06847,0.06943,66.42,19,81
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.01958,0.02342,26.92,1,99
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.01671,0.01846,23.48,1,99
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02289,0.02744,28.82,3,97
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02924,0.02895,36.04,2,98
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02044,0.02441,26.66,1,99
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.01994,0.02412,24.91,2,98
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02003,0.02303,26.07,2,98
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.0351,0.03034,44.1,5,95
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02585,0.02687,34.4,3,97
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.05664,0.05722,59.72,13,87
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02834,0.02951,35.54,5,95
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.06046,0.06228,66.56,19,81
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03546,0.0334,42.28,6,94
2,2020_00483,,,instances\9x9-database\2020_00483.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02372,0.02091,32.55,0,100
2,2020_00490,,,instances\9x9-database\2020_00490.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03853,0.03832,42.95,7,93
2,2020_00491,,,instances\9x9-database\2020_00491.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03374,0.03246,39.95,3,97
2,2020_00493,,,instances\9x9-database\2020_00493.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02754,0.02746,33.45,1,99
2,2020_00495,,,instances\9x9-database\2020_00495.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03035,0.03445,39.05,3,97
2,2020_00504,,,instances\9x9-database\2020_00504.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03365,0.03378,39.07,7,93
2,2020_00524,,,instances\9x9-database\2020_00524.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02847,0.03114,35.35,5,95
2,2020_00570,,,instances\9x9-database\2020_00570.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03491,0.03837,37.22,5,95
2,2020_00574,,,instances\9x9-database\2020_00574.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02593,0.02398,28.96,0,100
2,2020_00599,,,instances\9x9-database\2020_00599.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.03376,0.03661,39.1,5,95
2,2020_00616,,,instances\9x9-database\2020_00616.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.0251,0.0244,30.44,0,100
2,2020_00619,,,instances\9x9-database\2020_00619.txt,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,5,100,0.02727,0.02579,33.15,1,99
