alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01861,0.01411,22.38,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02317,0.01948,31.24,4,96
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01672,0.0194,21.41,1,99
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02654,0.02432,34.03,5,95
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02566,0.01837,34.97,2,98
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0133,0.00901,18.17,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03139,0.03012,40.28,7,93
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02305,0.01582,33.43,0,100
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03407,0.02588,44.6,7,93
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02365,0.02465,29.39,2,98
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02667,0.02338,37.22,4,96
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01859,0.01487,26.19,1,99
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03302,0.02729,44.34,8,92
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02419,0.02168,33.86,4,96
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0199,0.02085,26.11,1,99
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02648,0.02371,36.14,4,96
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02191,0.01299,31.42,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02691,0.01898,34.52,1,99
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06535,0.05516,71.39,19,81
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.01,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05546,0.04677,61.12,15,85
