alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02336,0.01721,32.01,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02937,0.02287,37.86,3,97
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02252,0.02423,30.97,6,94
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03186,0.02797,44.56,6,94
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03174,0.02233,41.51,2,98
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01536,0.01157,20.06,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0395,0.02534,54.22,9,91
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02831,0.02397,42.31,8,92
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04319,0.03098,63.47,15,85
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02973,0.02621,36.6,4,96
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03009,0.02154,42.12,5,95
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02171,0.01817,32.88,3,97
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04104,0.02986,56.89,11,89
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0288,0.02606,42.48,9,91
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02423,0.01862,34.42,3,97
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02453,0.02475,39.66,5,95
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01851,0.01258,32.35,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02687,0.02173,40.8,4,96
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05708,0.04967,76.81,27,73
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.11284,0.13369,86.11,29,71
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06191,0.04867,59.81,12,88
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.07711,0.09006,54.65,15,85
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06238,0.07008,48.33,10,90
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.10573,0.11843,74.84,23,77
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.10959,0.10078,73.02,29,71
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04764,0.04747,42.34,5,95
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04901,0.05348,40.68,5,95
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04161,0.03664,36.24,1,99
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.052,0.04637,47.09,2,98
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04424,0.05401,37.77,4,96
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0342,0.02839,33.75,1,99
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04257,0.04342,41.23,4,96
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05096,0.04109,55.37,8,92
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04219,0.03758,43.54,4,96
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.10515,0.12225,79.5,22,78
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04519,0.03263,44.62,2,98
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.08642,0.08646,74.05,21,79
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05157,0.04678,45.72,6,94
2,2020_00483,,,instances\9x9-database\2020_00483.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03995,0.03012,43.09,1,99
2,2020_00490,,,instances\9x9-database\2020_00490.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06485,0.05411,57.15,13,87
2,2020_00491,,,instances\9x9-database\2020_00491.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06391,0.06136,60.06,6,94
2,2020_00493,,,instances\9x9-database\2020_00493.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04667,0.04095,43.78,3,97
2,2020_00495,,,instances\9x9-database\2020_00495.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04573,0.04012,42.22,4,96
2,2020_00504,,,instances\9x9-database\2020_00504.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04847,0.05482,45.59,5,95
2,2020_00524,,,instances\9x9-database\2020_00524.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03613,0.03241,37.27,2,98
2,2020_00570,,,instances\9x9-database\2020_00570.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05817,0.05099,51.37,7,93
2,2020_00574,,,instances\9x9-database\2020_00574.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03985,0.04126,37.2,6,94
2,2020_00599,,,instances\9x9-database\2020_00599.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06383,0.06221,60.34,18,82
2,2020_00616,,,instances\9x9-database\2020_00616.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03224,0.03264,36.24,3,97
2,2020_00619,,,instances\9x9-database\2020_00619.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03238,0.03187,35.29,4,96
2,2020_00625,,,instances\9x9-database\2020_00625.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03362,0.02638,38.03,2,98
2,2020_00665,,,instances\9x9-database\2020_00665.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05681,0.04201,56.26,4,96
2,2020_00684,,,instances\9x9-database\2020_00684.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06423,0.05986,51.08,6,94
2,2020_00694,,,instances\9x9-database\2020_00694.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02876,0.03722,22.79,1,99
2,2020_00696,,,instances\9x9-database\2020_00696.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05874,0.05374,46.82,5,95
2,2020_00698,,,instances\9x9-database\2020_00698.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05224,0.03492,45.91,1,99
2,2020_00708,,,instances\9x9-database\2020_00708.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.05171,0.04518,45.81,6,94
2,2020_00712,,,instances\9x9-database\2020_00712.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04144,0.04457,44.21,9,91
2,2020_00719,,,instances\9x9-database\2020_00719.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03686,0.03715,33.37,1,99
2,2020_00726,,,instances\9x9-database\2020_00726.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04662,0.04357,39.86,2,98
2,2020_00728,,,instances\9x9-database\2020_00728.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.07374,0.06099,59.23,13,87
2,2020_00729,,,instances\9x9-database\2020_00729.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06358,0.06516,47.28,10,90
2,2020_00735,,,instances\9x9-database\2020_00735.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.06896,0.06897,46.07,5,95
2,2020_00742,,,instances\9x9-database\2020_00742.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04119,0.04992,42.41,6,94
2,2020_00743,,,instances\9x9-database\2020_00743.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02523,0.02784,34.75,5,95
2,2020_00744,,,instances\9x9-database\2020_00744.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03317,0.03253,47.58,17,83
2,2020_00753,,,instances\9x9-database\2020_00753.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0243,0.01849,36.03,1,99
2,2020_00767,,,instances\9x9-database\2020_00767.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03162,0.02587,41.66,7,93
2,2020_00768,,,instances\9x9-database\2020_00768.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02172,0.02257,30.17,2,98
2,2020_00782,,,instances\9x9-database\2020_00782.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02975,0.02133,44.19,4,96
2,2020_00819,,,instances\9x9-database\2020_00819.txt,10,4,0.9,0.7,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02328,0.01831,35.19,2,98
