alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.0311,0.03589,23.49,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.03626,0.0396,31.49,4,96
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.03539,0.03904,33.3,6,94
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.03084,0.02486,33.99,4,96
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.03891,0.03644,36.91,3,97
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.01999,0.01654,21.17,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.04583,0.05071,42.97,9,91
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.02722,0.02147,32.8,1,99
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.03802,0.02942,44.61,6,94
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.02295,0.02242,30.01,2,98
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.02598,0.02166,36.23,4,96
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.0001,0.995,100,10,200,5,100,0.01742,0.01277,24.68,0,100
