alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.01743,0.01373,27.21,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02014,0.01442,33.45,0,100
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.01578,0.01713,24.14,2,98
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02172,0.0212,32.2,3,97
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02062,0.01339,33.53,1,99
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.01186,0.00971,18.38,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03033,0.02815,42.54,7,93
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02186,0.01583,37.08,1,99
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03489,0.03765,52.08,6,94
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02076,0.02084,28.4,3,97
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02242,0.0174,37.24,1,99
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.01589,0.01096,27.97,1,99
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03468,0.03442,49.16,9,91
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02126,0.02008,34.92,5,95
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.0178,0.01422,27.34,0,100
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02249,0.02223,34.92,5,95
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02058,0.01513,33.88,2,98
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.02238,0.01756,34.58,2,98
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.05439,0.05657,73.8,23,77
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.0455,0.04525,64.85,15,85
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03373,0.03106,50.04,8,92
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03495,0.04117,47.38,8,92
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,125,1,1.5,0.01,0.995,100,10,200,5,100,0.03202,0.03071,46.19,10,90
