alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01545,0.01064,20.61,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01822,0.01579,25.63,1,99
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01523,0.0146,22.64,0,100
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02046,0.01551,29.44,1,99
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02045,0.01415,28.55,0,100
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01295,0.00831,14.74,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02922,0.02517,34.96,5,95
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02072,0.0131,31.56,1,99
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03065,0.02072,46.24,5,95
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01758,0.01291,24.37,0,100
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02055,0.0183,33.33,1,99
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01479,0.01072,25.27,0,100
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0279,0.02271,41.83,6,94
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01575,0.01388,25.22,1,99
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01999,0.017,27.91,1,99
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01666,0.01713,23.53,1,99
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01837,0.01252,29.68,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02018,0.01482,28.33,0,100
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04317,0.03847,61.41,17,83
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0329,0.02675,48.96,7,93
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02547,0.02203,36.96,2,98
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02595,0.02701,35.93,5,95
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02664,0.02375,37.75,6,94
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03809,0.02951,53.93,10,90
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.04017,0.03163,52.06,14,86
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01462,0.012,24.21,0,100
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0129,0.01057,20.19,0,100
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01903,0.01612,27.63,0,100
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02348,0.02077,29.24,1,99
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01931,0.02194,24.37,2,98
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01578,0.01316,23.88,1,99
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01405,0.01198,20.75,0,100
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02014,0.01843,33.68,4,96
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01928,0.01461,30.76,0,100
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0432,0.03923,59.74,12,88
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02158,0.01774,34.37,2,98
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03667,0.02932,55.77,13,87
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02154,0.014,33.54,1,99
2,2020_00483,,,instances\9x9-database\2020_00483.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01783,0.01345,29.42,1,99
2,2020_00490,,,instances\9x9-database\2020_00490.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.03159,0.02161,44.99,5,95
2,2020_00491,,,instances\9x9-database\2020_00491.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02481,0.01745,37.08,2,98
2,2020_00493,,,instances\9x9-database\2020_00493.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01557,0.01155,23.99,1,99
2,2020_00495,,,instances\9x9-database\2020_00495.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01896,0.01604,29.51,2,98
2,2020_00504,,,instances\9x9-database\2020_00504.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02251,0.02288,30.68,4,96
2,2020_00524,,,instances\9x9-database\2020_00524.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02026,0.01758,29.24,2,98
2,2020_00570,,,instances\9x9-database\2020_00570.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02124,0.01551,29.17,1,99
2,2020_00574,,,instances\9x9-database\2020_00574.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01969,0.0171,27.33,2,98
2,2020_00599,,,instances\9x9-database\2020_00599.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02856,0.02745,41.01,7,93
2,2020_00616,,,instances\9x9-database\2020_00616.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01922,0.01511,29.57,0,100
2,2020_00619,,,instances\9x9-database\2020_00619.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.01863,0.01505,27.54,1,99
2,2020_00625,,,instances\9x9-database\2020_00625.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.0213,0.01686,32.43,1,99
2,2020_00665,,,instances\9x9-database\2020_00665.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02848,0.0213,42.69,4,96
2,2020_00684,,,instances\9x9-database\2020_00684.txt,10,5,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,5,100,0.02012,0.01323,30.01,1,99
