alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,25x25,40,9,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,18.27206,0.0,928.0,,
0,25x25,40,10,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,9.15203,0.0,472.0,,
0,25x25,40,30,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,6.75581,0.0,376.0,,
0,25x25,40,50,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,4.91184,0.0,267.0,,
0,25x25,40,57,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,20.13791,0.0,1071.0,,
0,25x25,40,62,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,7.57296,0.0,361.0,,
0,25x25,40,79,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,16.98908,0.0,804.0,,
0,25x25,40,80,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,6.0124,0.0,295.0,,
0,25x25,40,89,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,2.41256,0.0,118.0,,
0,25x25,40,99,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,2.59283,0.0,138.0,,
0,25x25,45,1,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,2,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,3.43069,0.0,229.0,,
0,25x25,45,3,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,4.85041,0.0,297.0,,
0,25x25,45,4,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,8.35153,0.0,618.0,,
0,25x25,45,6,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,10.8723,0.0,655.0,,
0,25x25,45,7,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,11.99779,0.0,711.0,,
0,25x25,45,8,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,11.81307,0.0,652.0,,
0,25x25,45,11,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,4.59582,0.0,272.0,,
0,25x25,45,14,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,2.69213,0.0,149.0,,
0,25x25,45,15,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,13.01854,0.0,657.0,,
0,25x25,45,16,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,9.53945,0.0,412.0,,
0,25x25,45,17,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,33.51937,0.0,1287.0,,
0,25x25,45,18,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.77892,0.0,104.0,,
0,25x25,45,19,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,25.92152,0.0,1207.0,,
0,25x25,45,21,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,122.7054,0.0,6503.0,,
0,25x25,45,23,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,8.88858,0.0,363.0,,
0,25x25,45,24,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,117.99477,0.0,7153.0,,
0,25x25,45,26,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,3.41332,0.0,221.0,,
0,25x25,45,29,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,5.58147,0.0,362.0,,
0,25x25,45,32,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,5.07702,0.0,308.0,,
0,25x25,45,33,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,3.71241,0.0,233.0,,
0,25x25,45,34,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,5.64966,0.0,375.0,,
0,25x25,45,35,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,36,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,54.01069,0.0,3166.0,,
0,25x25,45,37,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.99609,0.0,129.0,,
0,25x25,45,40,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.88652,0.0,135.0,,
0,25x25,45,41,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,17.43147,0.0,1099.0,,
0,25x25,45,43,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,46,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.93213,0.0,119.0,,
0,25x25,45,51,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,52,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,2.80092,0.0,186.0,,
0,25x25,45,54,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,4.40984,0.0,286.0,,
0,25x25,45,56,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.78384,0.0,106.0,,
0,25x25,45,57,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,4.64082,0.0,292.0,,
0,25x25,45,58,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,59,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,5.05369,0.0,331.0,,
0,25x25,45,62,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,20.00193,0.0,1404.0,,
0,25x25,45,63,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
0,25x25,45,64,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,100.0,1.09576,0.0,90.0,,
0,25x25,45,65,,10,4,-0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180.0,0.0,0.0,0.0,0.0,,
