alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.10031,0,185,,
0,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.03986,0,54,,
0,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.02916,0,60,,
0,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.02778,0,56,,
0,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04096,0,90,,
0,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.00937,0,19,,
0,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.08179,0,168,,
0,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04986,0,103,,
0,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.00351,0,7,,
0,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.07308,0,123,,
0,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04037,0,73,,
0,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.00528,0,11,,
0,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.00167,0,3,,
0,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.06831,0,142,,
0,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.19603,0,388,,
0,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.07572,0,172,,
0,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04486,0,91,,
0,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.16152,0,236,,
0,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.10132,0,223,,
0,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04665,0,76,,
0,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.12891,0,234,,
0,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04487,0,76,,
0,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.12888,0,268,,
0,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.01919,0,28,,
0,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.2564,0,455,,
0,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.07527,0,184,,
0,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.00166,0,2,,
0,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.09549,0,161,,
0,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.05039,0,91,,
0,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.05653,0,97,,
0,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.03358,0,83,,
0,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04184,0,69,,
0,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.03655,0,87,,
0,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04305,0,88,,
0,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.0515,0,97,,
0,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.10098,0,209,,
0,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,5,100,0.04606,0,102,,
