alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.08831,0.0,30.0,0,1
2,2020_00021,,,instances\9x9-database\2020_00021.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.04505,0.0,21.0,0,1
2,2020_00041,,,instances\9x9-database\2020_00041.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.26233,0.0,94.0,1,0
2,2020_00049,,,instances\9x9-database\2020_00049.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.13937,0.0,61.0,1,0
2,2020_00054,,,instances\9x9-database\2020_00054.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.05792,0.0,12.0,0,1
2,2020_00057,,,instances\9x9-database\2020_00057.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01863,0.0,12.0,0,1
2,2020_00081,,,instances\9x9-database\2020_00081.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.14443,0.0,59.0,0,1
2,2020_00095,,,instances\9x9-database\2020_00095.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.07765,0.0,31.0,0,1
2,2020_00153,,,instances\9x9-database\2020_00153.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.11624,0.0,50.0,0,1
2,2020_00155,,,instances\9x9-database\2020_00155.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.29365,0.0,107.0,1,0
2,2020_00159,,,instances\9x9-database\2020_00159.txt,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.02051,0.0,13.0,0,1
