alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.02576,0.0,16.0,0,1
2,2020_00021,,,instances\9x9-database\2020_00021.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.10737,0.0,48.0,0,1
2,2020_00041,,,instances\9x9-database\2020_00041.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00407,0.0,2.0,0,1
2,2020_00049,,,instances\9x9-database\2020_00049.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00676,0.0,3.0,0,1
2,2020_00054,,,instances\9x9-database\2020_00054.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01314,0.0,9.0,0,1
2,2020_00057,,,instances\9x9-database\2020_00057.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.02056,0.0,14.0,0,1
2,2020_00081,,,instances\9x9-database\2020_00081.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01296,0.0,7.0,0,1
2,2020_00095,,,instances\9x9-database\2020_00095.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01261,0.0,8.0,0,1
2,2020_00153,,,instances\9x9-database\2020_00153.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.04016,0.0,18.0,0,1
2,2020_00155,,,instances\9x9-database\2020_00155.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00675,0.0,3.0,0,1
2,2020_00159,,,instances\9x9-database\2020_00159.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01851,0.0,13.0,0,1
2,2020_00175,,,instances\9x9-database\2020_00175.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.06529,0.0,31.0,0,1
2,2020_00177,,,instances\9x9-database\2020_00177.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.08948,0.0,38.0,0,1
2,2020_00179,,,instances\9x9-database\2020_00179.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.03065,0.0,20.0,0,1
2,2020_00203,,,instances\9x9-database\2020_00203.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00513,0.0,2.0,0,1
2,2020_00217,,,instances\9x9-database\2020_00217.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.0114,0.0,6.0,0,1
2,2020_00223,,,instances\9x9-database\2020_00223.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.0312,0.0,19.0,0,1
2,2020_00231,,,instances\9x9-database\2020_00231.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.12298,0.0,50.0,0,1
2,2020_00242,,,instances\9x9-database\2020_00242.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.09043,0.0,39.0,0,1
2,2020_00262,,,instances\9x9-database\2020_00262.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.08652,0.0,42.0,0,1
2,2020_00264,,,instances\9x9-database\2020_00264.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.06882,0.0,29.0,0,1
2,2020_00312,,,instances\9x9-database\2020_00312.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00763,0.0,3.0,0,1
2,2020_00333,,,instances\9x9-database\2020_00333.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00495,0.0,2.0,0,1
2,2020_00340,,,instances\9x9-database\2020_00340.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.13765,0.0,43.0,0,1
2,2020_00341,,,instances\9x9-database\2020_00341.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.03471,0.0,21.0,0,1
2,2020_00357,,,instances\9x9-database\2020_00357.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.0804,0.0,40.0,0,1
2,2020_00358,,,instances\9x9-database\2020_00358.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00522,0.0,3.0,0,1
2,2020_00361,,,instances\9x9-database\2020_00361.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.07645,0.0,39.0,0,1
2,2020_00363,,,instances\9x9-database\2020_00363.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01095,0.0,6.0,0,1
2,2020_00374,,,instances\9x9-database\2020_00374.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.35389,0.0,144.0,1,0
2,2020_00376,,,instances\9x9-database\2020_00376.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00565,0.0,3.0,0,1
2,2020_00403,,,instances\9x9-database\2020_00403.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.13044,0.0,52.0,0,1
2,2020_00427,,,instances\9x9-database\2020_00427.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01193,0.0,7.0,0,1
2,2020_00429,,,instances\9x9-database\2020_00429.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01692,0.0,12.0,0,1
2,2020_00439,,,instances\9x9-database\2020_00439.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.22644,0.0,92.0,1,0
2,2020_00454,,,instances\9x9-database\2020_00454.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.02298,0.0,18.0,0,1
2,2020_00466,,,instances\9x9-database\2020_00466.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.0698,0.0,26.0,0,1
2,2020_00472,,,instances\9x9-database\2020_00472.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.03819,0.0,24.0,0,1
2,2020_00483,,,instances\9x9-database\2020_00483.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00817,0.0,5.0,0,1
2,2020_00490,,,instances\9x9-database\2020_00490.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00502,0.0,2.0,0,1
2,2020_00491,,,instances\9x9-database\2020_00491.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.0707,0.0,32.0,0,1
2,2020_00493,,,instances\9x9-database\2020_00493.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.02922,0.0,20.0,0,1
2,2020_00495,,,instances\9x9-database\2020_00495.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01442,0.0,10.0,0,1
2,2020_00504,,,instances\9x9-database\2020_00504.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00674,0.0,4.0,0,1
2,2020_00524,,,instances\9x9-database\2020_00524.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.07523,0.0,35.0,0,1
2,2020_00570,,,instances\9x9-database\2020_00570.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00781,0.0,4.0,0,1
2,2020_00574,,,instances\9x9-database\2020_00574.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.01797,0.0,11.0,0,1
2,2020_00599,,,instances\9x9-database\2020_00599.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.07662,0.0,38.0,0,1
2,2020_00616,,,instances\9x9-database\2020_00616.txt,25,4,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180.0,100.0,0.00926,0.0,6.0,0,1
