alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,25x25,40,9,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,3.62469,0,178,,
0,25x25,40,10,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.15347,0,51,,
0,25x25,40,30,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.18429,0,60,,
0,25x25,40,50,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.06473,0,53,,
0,25x25,40,57,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.57941,0,28,,
0,25x25,40,62,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,5.38098,0,264,,
0,25x25,40,79,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,2.6387,0,135,,
0,25x25,40,80,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.8861,0,101,,
0,25x25,40,89,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.1749,0,8,,
0,25x25,40,99,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.09403,0,65,,
0,25x25,45,1,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,2,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,9.28174,0,664,,
0,25x25,45,3,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,18.84809,0,1425,,
0,25x25,45,4,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,6,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,2.51217,0,199,,
0,25x25,45,7,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,12.5135,0,953,,
0,25x25,45,8,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,11,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.76542,0,46,,
0,25x25,45,14,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.48633,0,32,,
0,25x25,45,15,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.05768,0,64,,
0,25x25,45,16,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.01734,0,74,,
0,25x25,45,17,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,3.71573,0,201,,
0,25x25,45,18,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,19,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,21,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.76654,0,40,,
0,25x25,45,23,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,2.36085,0,104,,
0,25x25,45,24,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,32.81087,0,1436,,
0,25x25,45,26,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,17.23466,0,940,,
0,25x25,45,29,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,32,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,1.04119,0,61,,
0,25x25,45,33,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,34,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.34976,0,18,,
0,25x25,45,35,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,36,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,40.45707,0,1742,,
0,25x25,45,37,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,0,0,0,0,,
0,25x25,45,40,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.07412,0,6,,
0,25x25,45,41,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,3.73793,0,232,,
0,25x25,45,43,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.68147,0,50,,
0,25x25,45,46,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,6.05824,0,377,,
0,25x25,45,51,,10,4,0.9,0.9,0.005,0.1,0,0,1.5,0.01,0.995,,,,180,100,0.94786,0,62,,
