alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,xi,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,1.23514,0,23,0,1
2,25x25,40,10,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,2.42388,0,49,0,1
2,25x25,40,30,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,1.12359,0,20,0,1
2,25x25,40,50,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,9.1258,0,146,1,0
2,25x25,40,57,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,2.86732,0,20,0,1
2,25x25,40,62,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,8.76199,0,176,1,0
2,25x25,40,79,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,32.9827,0,657,1,0
2,25x25,40,80,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.50099,0,11,0,1
2,25x25,40,89,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,2.88761,0,60,1,0
2,25x25,40,99,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,1.66069,0,37,0,1
2,25x25,45,1,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,85.41869,0,2185,1,0
2,25x25,45,2,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,12.25291,0,342,1,0
2,25x25,45,3,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,98.86506,0,2537,1,0
2,25x25,45,4,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,39.25152,0,1092,1,0
2,25x25,45,6,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.68403,0,20,0,1
2,25x25,45,7,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,41.47197,0,1151,1,0
2,25x25,45,8,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,1.77547,0,49,0,1
2,25x25,45,11,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,65.74961,0,2085,1,0
2,25x25,45,14,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.16023,0,6,0,1
2,25x25,45,15,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,76.63573,0,2353,1,0
2,25x25,45,16,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,19.63036,0,608,1,0
2,25x25,45,17,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,36.93137,0,1082,1,0
2,25x25,45,18,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.54107,0,16,0,1
2,25x25,45,19,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.34413,0,12,0,1
2,25x25,45,21,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.58318,0,14,0,1
2,25x25,45,23,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,3.52727,0,92,1,0
2,25x25,45,24,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,0,0,0,0,0,0
2,25x25,45,26,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,25.2363,0,798,1,0
2,25x25,45,29,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,40.25465,0,1146,1,0
2,25x25,45,32,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,4.81402,0,144,1,0
2,25x25,45,33,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,13.73579,0,426,1,0
2,25x25,45,34,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,26.74157,0,857,1,0
2,25x25,45,35,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,149.4359,0,5011,1,0
2,25x25,45,36,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,3.15026,0,80,1,0
2,25x25,45,37,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,51.79726,0,1583,1,0
2,25x25,45,40,,25,1,0.7,0.7,0.0075,0.5,25,1,5.75,0.01,0.995,60,25,100,180,100,0.41066,0,13,0,1
