alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.01693,0.01378,21.84,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03124,0.03148,33.03,4,96
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03466,0.0314,38.12,2,98
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02634,0.0263,28.77,3,97
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04581,0.03872,38.07,2,98
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.01802,0.01486,17.42,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04877,0.0412,42.25,4,96
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04184,0.03041,42.06,3,97
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.05144,0.04308,48.17,9,91
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04053,0.0572,31.23,3,97
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04596,0.05746,38.02,1,99
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03154,0.03269,28.35,0,100
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.05743,0.06559,48.99,9,91
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.05163,0.05816,41.03,6,94
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03341,0.02948,29.08,2,98
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.044,0.04491,40.49,9,91
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04208,0.03897,37.86,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.052,0.06359,41.31,3,97
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.07146,0.06371,62.5,15,85
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.09007,0.08274,70.94,22,78
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.07184,0.06592,57.96,12,88
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.05044,0.05724,43,9,91
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.05473,0.05917,45.38,9,91
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.0638,0.05683,53.52,9,91
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.08824,0.07493,70.42,25,75
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02897,0.03027,30.51,2,98
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02526,0.02009,24.95,0,100
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03963,0.03819,27.1,0,100
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04534,0.03494,42.11,5,95
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02806,0.0251,26.29,0,100
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02792,0.02517,26.92,0,100
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.02866,0.02741,26.72,1,99
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04712,0.04753,42.99,5,95
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03781,0.02603,37.62,1,99
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.07418,0.07398,62.47,17,83
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.03728,0.03336,38.57,2,98
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.0716,0.06842,66.63,19,81
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,4,0.9,0.9,0.005,0,1,1.5,0.01,0.995,100,10,200,7,100,0.04183,0.04301,35.73,0,100
