alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,16x16,,2203,,10,4,0.9,0.9,0.005,50,20.0,93.0,0.64376,2.48088,107.6,,
0,16x16,,2205,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.65838,2.14007,158.61,,
0,16x16,,2211,,10,4,0.9,0.9,0.005,50,20.0,91.0,0.37435,2.22878,135.98,,
0,16x16,,2214,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.17929,0.56168,65.89,,
0,16x16,,2223,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.17412,0.54372,55.37,,
0,16x16,,2228,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.94025,2.55241,231.9,,
0,16x16,,2230,,10,4,0.9,0.9,0.005,50,20.0,91.0,0.26481,1.03076,60.71,,
0,16x16,,2233,,10,4,0.9,0.9,0.005,50,20.0,83.0,0.79708,2.36935,192.94,,
0,16x16,,2234,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.35719,1.71676,105.57,,
0,16x16,,2237,,10,4,0.9,0.9,0.005,50,20.0,100.0,1.37213,2.03717,285.02,,
0,16x16,,2251,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.40598,1.55193,84.81,,
0,16x16,,2256,,10,4,0.9,0.9,0.005,50,20.0,97.0,1.1271,3.34552,262.78,,
0,16x16,,2265,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.00857,0.00662,2.67,,
0,16x16,,2280,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.15723,0.47358,41.11,,
0,16x16,,2281,,10,4,0.9,0.9,0.005,50,20.0,89.0,0.09748,0.31694,24.42,,
0,16x16,,2288,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.19421,0.28151,54.89,,
0,16x16,,2291,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02494,0.03447,8.19,,
0,16x16,,2292,,10,4,0.9,0.9,0.005,50,20.0,93.0,0.27266,0.61216,50.18,,
0,16x16,,2297,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.44044,1.96164,103.61,,
0,16x16,,2300,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.16803,0.70563,37.65,,
0,16x16,,2314,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.14036,0.41207,25.21,,
0,16x16,,2330,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.10506,0.33324,32.32,,
0,16x16,,2333,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01298,0.01208,4.04,,
0,16x16,,2338,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.0857,0.30093,24.46,,
0,16x16,,2349,,10,4,0.9,0.9,0.005,50,20.0,88.0,2.53601,3.79383,583.88,,
0,16x16,,2350,,10,4,0.9,0.9,0.005,50,20.0,89.0,0.46066,2.41926,142.19,,
0,16x16,,2354,,10,4,0.9,0.9,0.005,50,20.0,91.0,3.50713,4.27974,845.49,,
0,16x16,,2355,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.12175,0.79715,15.66,,
0,16x16,,2357,,10,4,0.9,0.9,0.005,50,20.0,74.0,1.02043,2.56026,201.39,,
0,16x16,,2367,,10,4,0.9,0.9,0.005,50,20.0,95.0,0.3774,1.63309,97.36,,
0,16x16,,2370,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.09121,0.36791,29.8,,
0,16x16,,2371,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.70914,1.24897,197.64,,
0,16x16,,2374,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.23334,0.60061,61.53,,
0,16x16,,2379,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.25306,0.51428,56.27,,
0,16x16,,2383,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.31768,1.76402,86.9,,
0,16x16,,2388,,10,4,0.9,0.9,0.005,50,20.0,100.0,1.2391,2.74291,400.29,,
0,16x16,,2390,,10,4,0.9,0.9,0.005,50,20.0,71.0,3.17485,5.11515,835.72,,
0,16x16,,2395,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.08321,0.5882,24.97,,
0,16x16,,2405,,10,4,0.9,0.9,0.005,50,20.0,96.0,5.01113,4.62205,1220.08,,
0,16x16,,2407,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.13036,0.46905,46.89,,
0,16x16,,2411,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.64543,1.80452,161.36,,
0,16x16,,2418,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.28966,1.15698,59.76,,
0,16x16,,2435,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.19851,0.41886,47.09,,
0,16x16,,2436,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.20784,0.87728,49.48,,
0,16x16,,2443,,10,4,0.9,0.9,0.005,50,20.0,98.0,1.85861,3.16084,442.63,,
0,16x16,,2446,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.01486,0.0907,4.72,,
0,16x16,,2448,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.89173,1.55247,222.27,,
0,16x16,,2449,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.04798,0.11994,7.09,,
0,16x16,,2451,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.09829,0.28034,33.9,,
0,16x16,,2452,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.08474,0.17286,23.44,,
0,16x16,,2454,,10,4,0.9,0.9,0.005,50,20.0,65.0,0.57518,2.41883,148.65,,
