alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,16x16,,2456,,10,4,0.9,0.9,0.005,50,20.0,87.0,0.26259,1.58614,65.06,,
0,16x16,,2467,,10,4,0.9,0.9,0.005,50,20.0,86.0,0.37519,1.82481,90.48,,
0,16x16,,2468,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.61912,1.53618,115.62,,
0,16x16,,2471,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.34696,0.73052,92.0,,
0,16x16,,2475,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.19051,0.89556,55.6,,
0,16x16,,2477,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.21843,0.59941,58.42,,
0,16x16,,2478,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02086,0.04214,7.31,,
0,16x16,,2483,,10,4,0.9,0.9,0.005,50,20.0,99.0,1.1443,2.47833,346.43,,
0,16x16,,2491,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02036,0.01854,7.03,,
0,16x16,,2507,,10,4,0.9,0.9,0.005,50,20.0,93.0,0.52379,2.69712,139.58,,
0,16x16,,2522,,10,4,0.9,0.9,0.005,50,20.0,93.0,0.7944,1.06778,139.41,,
0,16x16,,2525,,10,4,0.9,0.9,0.005,50,20.0,82.0,2.23065,4.22372,426.12,,
0,16x16,,2526,,10,4,0.9,0.9,0.005,50,20.0,97.0,1.31582,2.39804,308.75,,
0,16x16,,2534,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.14566,1.23001,47.96,,
0,16x16,,2536,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.02945,0.06237,7.61,,
0,16x16,,2544,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.3344,1.08287,54.97,,
0,16x16,,2558,,10,4,0.9,0.9,0.005,50,20.0,94.0,1.61267,3.41182,346.03,,
0,16x16,,2561,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.42509,1.54635,95.39,,
0,16x16,,2563,,10,4,0.9,0.9,0.005,50,20.0,86.0,0.11788,0.47096,23.42,,
0,16x16,,2567,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.10552,0.41146,26.13,,
0,16x16,,2570,,10,4,0.9,0.9,0.005,50,20.0,100.0,2.25406,3.21352,485.59,,
0,16x16,,2571,,10,4,0.9,0.9,0.005,50,20.0,92.0,0.04848,0.09009,11.35,,
0,16x16,,2572,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.57665,1.86005,135.93,,
0,16x16,,2590,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.46626,1.84484,139.57,,
0,16x16,,2602,,10,4,0.9,0.9,0.005,50,20.0,88.0,1.13875,1.56301,299.9,,
0,16x16,,2623,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.46544,0.70898,134.52,,
0,16x16,,2669,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.83739,2.65179,227.51,,
0,16x16,,2686,,10,4,0.9,0.9,0.005,50,20.0,98.0,3.2358,3.65602,863.02,,
0,16x16,,2733,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.27343,0.9874,84.0,,
0,16x16,,2747,,10,4,0.9,0.9,0.005,50,20.0,94.0,0.91801,1.84392,255.7,,
0,16x16,,2755,,10,4,0.9,0.9,0.005,50,20.0,92.0,1.40003,3.18367,364.68,,
0,16x16,,2756,,10,4,0.9,0.9,0.005,50,20.0,90.0,0.74184,1.89166,209.52,,
0,16x16,,2778,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.14329,0.7237,49.16,,
0,16x16,,2779,,10,4,0.9,0.9,0.005,50,20.0,89.0,0.35823,1.06589,128.9,,
0,16x16,,2851,,10,4,0.9,0.9,0.005,50,20.0,93.0,1.86133,3.68915,587.59,,
0,16x16,,2862,,10,4,0.9,0.9,0.005,50,20.0,86.0,2.68446,4.52504,776.65,,
0,16x16,,2875,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.26533,1.6715,69.34,,
0,16x16,,2904,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.5475,1.57971,138.06,,
0,16x16,,2910,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.28836,0.74159,81.21,,
0,16x16,,2924,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.05136,0.2346,16.37,,
0,16x16,,2933,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.19646,1.81849,60.85,,
0,16x16,,2935,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.04506,0.22753,16.21,,
0,16x16,,2940,,10,4,0.9,0.9,0.005,50,20.0,98.0,0.19541,0.60554,54.21,,
0,16x16,,2943,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.17404,1.09129,46.91,,
0,16x16,,2964,,10,4,0.9,0.9,0.005,50,20.0,97.0,0.21526,0.7647,45.87,,
0,16x16,,2971,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.15075,0.46485,30.01,,
0,16x16,,2973,,10,4,0.9,0.9,0.005,50,20.0,96.0,0.36776,0.60324,85.42,,
0,16x16,,2978,,10,4,0.9,0.9,0.005,50,20.0,99.0,0.13567,0.59982,31.42,,
0,16x16,,2985,,10,4,0.9,0.9,0.005,50,20.0,91.0,0.93088,2.52489,174.68,,
