alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,16x16,,2456,,10,4,0.9,0.9,0.005,0,20.0,84.0,0.33162,1.60598,57.06,,
0,16x16,,2467,,10,4,0.9,0.9,0.005,0,20.0,92.0,0.41627,1.94958,175.7,,
0,16x16,,2468,,10,4,0.9,0.9,0.005,0,20.0,97.0,0.5453,0.97648,142.18,,
0,16x16,,2471,,10,4,0.9,0.9,0.005,0,20.0,98.0,0.40551,0.75691,119.92,,
0,16x16,,2475,,10,4,0.9,0.9,0.005,0,20.0,95.0,0.34077,1.67289,97.29,,
0,16x16,,2477,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.14687,0.4088,43.32,,
0,16x16,,2478,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02082,0.03161,5.59,,
0,16x16,,2483,,10,4,0.9,0.9,0.005,0,20.0,98.0,0.53637,1.30647,171.8,,
0,16x16,,2491,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02582,0.02769,8.82,,
0,16x16,,2507,,10,4,0.9,0.9,0.005,0,20.0,94.0,0.07893,0.15592,25.6,,
0,16x16,,2522,,10,4,0.9,0.9,0.005,0,20.0,90.0,0.46903,0.55347,133.54,,
0,16x16,,2525,,10,4,0.9,0.9,0.005,0,20.0,85.0,1.70221,4.00669,489.35,,
0,16x16,,2526,,10,4,0.9,0.9,0.005,0,20.0,93.0,1.00893,1.89909,270.8,,
0,16x16,,2534,,10,4,0.9,0.9,0.005,0,20.0,98.0,0.04933,0.31928,20.65,,
0,16x16,,2536,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.1088,0.5904,41.93,,
0,16x16,,2544,,10,4,0.9,0.9,0.005,0,20.0,97.0,0.0781,0.27354,24.79,,
0,16x16,,2558,,10,4,0.9,0.9,0.005,0,20.0,97.0,1.36741,3.29445,588.77,,
0,16x16,,2561,,10,4,0.9,0.9,0.005,0,20.0,96.0,0.3562,1.46954,131.62,,
0,16x16,,2563,,10,4,0.9,0.9,0.005,0,20.0,71.0,0.08361,0.27231,28.13,,
0,16x16,,2567,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.11129,0.59943,36.17,,
0,16x16,,2570,,10,4,0.9,0.9,0.005,0,20.0,100.0,1.97623,2.68039,517.73,,
0,16x16,,2571,,10,4,0.9,0.9,0.005,0,20.0,94.0,0.17224,1.11958,37.66,,
0,16x16,,2572,,10,4,0.9,0.9,0.005,0,20.0,97.0,0.56046,1.53532,160.98,,
0,16x16,,2590,,10,4,0.9,0.9,0.005,0,20.0,94.0,0.37968,1.11515,101.39,,
0,16x16,,2602,,10,4,0.9,0.9,0.005,0,20.0,87.0,1.69135,2.97583,413.34,,
0,16x16,,2623,,10,4,0.9,0.9,0.005,0,20.0,96.0,0.3737,0.48831,96.23,,
0,16x16,,2669,,10,4,0.9,0.9,0.005,0,20.0,97.0,0.68622,2.70223,170.38,,
0,16x16,,2686,,10,4,0.9,0.9,0.005,0,20.0,100.0,2.29941,2.82714,579.48,,
0,16x16,,2733,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.20127,0.8232,55.55,,
0,16x16,,2747,,10,4,0.9,0.9,0.005,0,20.0,99.0,1.0054,1.70707,266.35,,
0,16x16,,2755,,10,4,0.9,0.9,0.005,0,20.0,91.0,1.78117,3.72022,463.33,,
0,16x16,,2756,,10,4,0.9,0.9,0.005,0,20.0,88.0,0.67062,2.01802,166.16,,
0,16x16,,2778,,10,4,0.9,0.9,0.005,0,20.0,95.0,0.18055,0.53354,54.77,,
0,16x16,,2779,,10,4,0.9,0.9,0.005,0,20.0,91.0,0.16249,0.6629,53.76,,
0,16x16,,2851,,10,4,0.9,0.9,0.005,0,20.0,85.0,1.62829,3.2186,475.22,,
0,16x16,,2862,,10,4,0.9,0.9,0.005,0,20.0,79.0,3.23481,5.31016,816.92,,
0,16x16,,2875,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.62935,2.31166,142.9,,
0,16x16,,2904,,10,4,0.9,0.9,0.005,0,20.0,94.0,0.98462,2.94393,233.67,,
0,16x16,,2910,,10,4,0.9,0.9,0.005,0,20.0,98.0,0.30355,0.89318,82.08,,
0,16x16,,2924,,10,4,0.9,0.9,0.005,0,20.0,97.0,0.05196,0.19612,19.6,,
0,16x16,,2933,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.19056,1.75138,92.58,,
0,16x16,,2935,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.03139,0.10818,15.48,,
0,16x16,,2940,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.10711,0.28911,48.84,,
0,16x16,,2943,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.05485,0.10387,23.86,,
0,16x16,,2964,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.18805,0.73277,69.15,,
0,16x16,,2971,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.13548,0.43024,47.05,,
0,16x16,,2973,,10,4,0.9,0.9,0.005,0,20.0,98.0,0.22801,0.30254,96.29,,
0,16x16,,2978,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.12182,0.60765,48.75,,
0,16x16,,2985,,10,4,0.9,0.9,0.005,0,20.0,87.0,0.52398,1.30947,187.87,,
