alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,16x16,,2454,,10,4,0.9,0.9,0.005,0,0,20.0,63.0,0.36531,1.58148,110.65,,
0,16x16,,2456,,10,4,0.9,0.9,0.005,0,0,20.0,81.0,0.10467,0.44784,38.17,,
0,16x16,,2467,,10,4,0.9,0.9,0.005,0,0,20.0,92.0,0.55889,1.96581,270.93,,
0,16x16,,2468,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.46698,1.50647,166.79,,
0,16x16,,2471,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.29046,0.82925,118.84,,
0,16x16,,2475,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.24674,1.24067,99.77,,
0,16x16,,2477,,10,4,0.9,0.9,0.005,0,0,20.0,98.0,0.28617,0.64188,122.64,,
0,16x16,,2478,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,0.04798,0.2755,19.5,,
0,16x16,,2483,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,0.44639,1.46987,183.14,,
0,16x16,,2491,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,0.02253,0.02625,9.38,,
0,16x16,,2507,,10,4,0.9,0.9,0.005,0,0,20.0,96.0,0.1772,0.64409,78.81,,
0,16x16,,2522,,10,4,0.9,0.9,0.005,0,0,20.0,93.0,0.40441,0.52665,149.26,,
0,16x16,,2525,,10,4,0.9,0.9,0.005,0,0,20.0,83.0,1.50792,2.82491,579.99,,
0,16x16,,2526,,10,4,0.9,0.9,0.005,0,0,20.0,96.0,1.01007,1.53963,384.64,,
0,16x16,,2534,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,0.02067,0.02361,8.74,,
0,16x16,,2536,,10,4,0.9,0.9,0.005,0,0,20.0,94.0,0.05418,0.27297,23.74,,
0,16x16,,2544,,10,4,0.9,0.9,0.005,0,0,20.0,98.0,0.21348,1.21696,77.44,,
0,16x16,,2558,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,1.10435,2.73583,576.44,,
0,16x16,,2561,,10,4,0.9,0.9,0.005,0,0,20.0,94.0,0.21798,0.85232,96.39,,
0,16x16,,2563,,10,4,0.9,0.9,0.005,0,0,20.0,78.0,0.09418,0.39439,38.63,,
0,16x16,,2567,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.037,0.06429,12.77,,
0,16x16,,2570,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,1.75594,2.27634,570.06,,
0,16x16,,2571,,10,4,0.9,0.9,0.005,0,0,20.0,91.0,0.04112,0.05098,12.71,,
0,16x16,,2572,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.30195,0.57761,126.48,,
0,16x16,,2590,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.32177,0.73208,126.22,,
0,16x16,,2602,,10,4,0.9,0.9,0.005,0,0,20.0,91.0,1.07939,2.76702,383.32,,
0,16x16,,2623,,10,4,0.9,0.9,0.005,0,0,20.0,96.0,0.19706,0.28348,76.17,,
0,16x16,,2669,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,1.02072,2.75746,380.39,,
0,16x16,,2686,,10,4,0.9,0.9,0.005,0,0,20.0,98.0,2.1156,2.96314,798.08,,
0,16x16,,2733,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.24451,0.95033,103.73,,
0,16x16,,2747,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.79177,1.62544,303.32,,
0,16x16,,2755,,10,4,0.9,0.9,0.005,0,0,20.0,89.0,2.29467,3.71798,876.21,,
0,16x16,,2756,,10,4,0.9,0.9,0.005,0,0,20.0,93.0,0.59237,2.10714,222.28,,
0,16x16,,2778,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.43204,1.93523,194.68,,
0,16x16,,2779,,10,4,0.9,0.9,0.005,0,0,20.0,94.0,0.58064,2.41235,290.17,,
0,16x16,,2851,,10,4,0.9,0.9,0.005,0,0,20.0,90.0,1.36947,3.12054,580.26,,
0,16x16,,2862,,10,4,0.9,0.9,0.005,0,0,20.0,88.0,2.68755,4.71914,1007.3,,
0,16x16,,2875,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.19461,0.86049,62.17,,
0,16x16,,2904,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.34225,0.90626,119.86,,
0,16x16,,2910,,10,4,0.9,0.9,0.005,0,0,20.0,98.0,0.19686,0.38615,79.1,,
0,16x16,,2924,,10,4,0.9,0.9,0.005,0,0,20.0,98.0,0.1101,0.50808,45.98,,
0,16x16,,2933,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.01886,0.07773,8.17,,
0,16x16,,2935,,10,4,0.9,0.9,0.005,0,0,20.0,95.0,0.02286,0.06882,10.94,,
0,16x16,,2940,,10,4,0.9,0.9,0.005,0,0,20.0,97.0,0.48307,2.12187,218.62,,
0,16x16,,2943,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.0765,0.41624,34.64,,
0,16x16,,2964,,10,4,0.9,0.9,0.005,0,0,20.0,96.0,0.24952,0.96268,100.38,,
0,16x16,,2971,,10,4,0.9,0.9,0.005,0,0,20.0,100.0,0.07848,0.17165,23.57,,
0,16x16,,2973,,10,4,0.9,0.9,0.005,0,0,20.0,99.0,0.31759,0.753,135.47,,
0,16x16,,2978,,10,4,0.9,0.9,0.005,0,0,20.0,96.0,0.18165,0.81191,71.64,,
0,16x16,,2985,,10,4,0.9,0.9,0.005,0,0,20.0,92.0,1.00474,2.85425,355.36,,
