alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01762,0.00851,3.98,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02696,0.02145,5.96,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01177,0.0039,3.29,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01402,0.0089,3.99,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01752,0.0132,4.28,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07084,0.11028,16.23,2,98
2,16x16,,2230,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02515,0.04875,5.69,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03566,0.06605,7.5,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02211,0.03603,5.88,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0858,0.17292,15.67,6,94
2,16x16,,2251,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01515,0.00648,3.58,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04918,0.07235,10.8,1,99
2,16x16,,2265,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01112,0.00508,1.96,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01289,0.00489,3.08,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01564,0.02454,3.92,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04027,0.05925,9.8,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.0025,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01455,0.01099,2.66,0,100
