alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01548,0.00879,3.95,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0265,0.04729,6.2,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01141,0.00636,3.47,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01666,0.02368,5.4,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01519,0.00591,4.01,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.07124,0.10157,14.89,1,99
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0229,0.05433,5.54,1,99
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.22193,1.9502,38.26,1,99
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02014,0.01741,5.2,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.11974,0.26714,23.02,8,92
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01224,0.00537,3.15,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0535,0.07131,12.72,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.00856,0.00236,1.87,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01537,0.01137,3.33,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01288,0.00437,3.35,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.03966,0.06014,10.02,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01235,0.00674,2.9,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02998,0.0831,6.91,2,98
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0411,0.07476,9.94,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.00929,0.00177,2.55,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0148,0.00497,3.53,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01042,0.00711,2.79,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01415,0.01042,2.51,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02288,0.01618,4.66,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.30268,0.70252,52.5,15,85
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0312,0.19586,7.38,1,99
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.84137,1.81734,151.95,32,68
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01395,0.00463,3.29,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.30626,1.68218,51.05,9,91
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01734,0.01382,3.92,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.00825,0.00278,2.1,0,100
