alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01535,0.00785,3.83,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02415,0.03463,6.27,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01164,0.004,3.62,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01525,0.0153,4.41,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01597,0.00827,4.21,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.06163,0.08653,16.35,2,98
2,16x16,,2230,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01659,0.01107,4.82,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02081,0.03772,5.3,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02276,0.02807,6.18,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.10629,0.16509,23.13,12,88
2,16x16,,2251,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01203,0.00492,2.98,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.05516,0.105,13.12,3,97
2,16x16,,2265,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00876,0.0021,1.87,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01456,0.00648,3.49,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01583,0.01175,4.35,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03271,0.037,8.61,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0129,0.00962,3.19,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02023,0.04449,5.05,1,99
2,16x16,,2297,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03442,0.06026,8.75,1,99
2,16x16,,2300,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00978,0.00204,2.72,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01757,0.02192,4.35,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00927,0.00477,2.3,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01132,0.00232,2.33,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01729,0.00952,4.47,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.22585,0.50327,47.06,12,88
2,16x16,,2350,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01521,0.0202,4.02,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.60147,1.04486,126.86,35,65
2,16x16,,2355,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0138,0.00337,3.21,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.19997,1.03686,37.51,7,92
2,16x16,,2367,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01871,0.01012,3.83,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01048,0.00424,2.29,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0575,0.07876,13.88,1,99
2,16x16,,2374,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01764,0.00796,3.6,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03356,0.04778,8.47,0,100
2,16x16,,2383,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01166,0.0115,2.45,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02895,0.08188,8.95,1,99
2,16x16,,2390,,10,4,0.9,0.9,0.005,0,20.0,92.0,0.21491,1.4351,47.68,4,88
2,16x16,,2395,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0131,0.00278,2.92,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.74893,1.03299,145.31,45,55
2,16x16,,2407,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01009,0.00462,2.74,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0489,0.06664,11.77,1,99
2,16x16,,2418,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01416,0.00724,3.07,0,100
2,16x16,,2435,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.04456,0.05092,8.25,0,100
2,16x16,,2436,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0232,0.01075,5.16,0,100
2,16x16,,2443,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.08372,0.17873,18.24,7,93
2,16x16,,2446,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00914,0.00255,1.98,0,100
2,16x16,,2448,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.13963,0.22926,33.24,12,88
2,16x16,,2449,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01475,0.00454,2.66,0,100
2,16x16,,2451,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0089,0.00574,2.13,0,100
2,16x16,,2452,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02262,0.01414,5.37,0,100
2,16x16,,2454,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0126,0.00539,2.61,0,100
