alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,9.97958,13.98786,219.66,,
0,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,8.94919,12.90978,122.26,,
0,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,120.0,98.0,13.74857,15.02185,187.57,,
0,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,24.02422,24.03378,300.96,,
0,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,120.0,98.0,15.80085,19.13268,202.54,,
0,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,120.0,98.0,26.84679,28.11395,330.79,,
0,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,15.94844,17.54302,211.06,,
0,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,10.53191,13.20437,110.14,,
0,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,11.00907,14.76476,140.5,,
0,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,13.25598,15.41115,169.29,,
