alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.61369,1.66019,25.98,2,98
2,25x25,40,10,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.8876,0.61778,13.66,0,100
2,25x25,40,30,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.36,1.09895,17.63,0,100
2,25x25,40,50,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.43588,0.9382,23.13,0,100
2,25x25,40,57,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.24263,1.31288,20.17,1,99
2,25x25,40,62,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.76843,1.98896,29.89,3,97
2,25x25,40,79,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.54422,2.24529,24.33,3,97
2,25x25,40,80,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.10944,0.76278,13.74,0,100
2,25x25,40,89,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.16728,1.39606,16.07,1,99
2,25x25,40,99,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.9444,1.0008,18.52,1,99
2,25x25,45,1,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,72,8.82479,15.84232,218.14,31,41
2,25x25,45,2,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.3235,8.95942,92.35,21,79
2,25x25,45,3,,20,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.94912,3.00811,53.94,9,91
