alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.407,2.16782,53.53,11,89
2,25x25,40,10,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,0.63725,0.98599,27.97,1,99
2,25x25,40,30,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.38862,2.47623,55.64,8,92
2,25x25,40,50,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,2.91817,5.99302,101.03,18,82
2,25x25,40,57,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.35796,1.64483,47.8,8,92
2,25x25,40,62,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,2.41796,4.74968,80.45,16,84
2,25x25,40,79,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.16007,1.00784,41.46,4,96
2,25x25,40,80,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,0.75729,0.84661,28.28,1,99
2,25x25,40,89,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,0.88409,1.22735,33.37,1,99
2,25x25,40,99,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.10651,2.45878,40.3,3,97
2,25x25,45,1,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,80,13.00107,21.15791,466.39,54,26
2,25x25,45,2,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,99,4.41198,9.10756,185.03,34,65
2,25x25,45,3,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,4.05936,5.78535,169.47,46,54
2,25x25,45,4,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,97,5.61583,12.28868,243.14,43,54
2,25x25,45,6,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,2.65681,3.33237,119,37,63
2,25x25,45,7,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,2.1927,3.31021,97.53,24,76
2,25x25,45,8,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,96,1.21808,2.94906,56.59,6,90
2,25x25,45,11,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,99,3.005,10.20823,130.87,19,80
2,25x25,45,14,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,0.50063,0.59957,25.67,1,99
2,25x25,45,15,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,4.64059,6.98642,201.4,47,53
2,25x25,45,16,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,120,100,1.30994,1.97329,59.56,11,89
