alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.01688,0.75961,36.98,2,98
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.54018,0.39442,20.79,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.20198,1.48812,43.86,4,96
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.82697,2.13221,55.43,10,90
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.2281,1.66323,38.76,3,97
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,2.33931,3.94727,75.33,10,90
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.81224,3.95594,63.9,8,92
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.58108,0.33963,22.88,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.93492,1.49491,34.29,3,97
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.94858,0.93155,34.7,2,98
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,1,120.0,74.0,9.60494,14.47477,340.97,58,16
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,1,120.0,98.0,4.99796,7.66227,126.41,38,60
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,5.10642,5.97781,122.45,35,65
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,1,120.0,95.0,5.84373,7.4397,161.61,43,52
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,3.50226,5.48197,132.55,39,60
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,2.24446,2.8685,90.04,27,73
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,1.224,1.6372,49.09,10,89
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.93103,6.11523,76.06,15,85
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.47049,0.51469,22.47,1,99
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,3.64125,6.28264,144.12,34,65
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.13885,1.14424,47.94,11,89
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.88245,3.34726,81.56,21,79
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.50395,0.53601,25.36,2,98
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,5.49051,11.73619,229.83,43,56
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,5.72617,11.16929,233.15,47,52
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.44706,1.64327,67.79,14,86
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,1,120.0,93.0,12.35875,17.40508,558.49,75,18
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,3.07343,4.10419,146.2,37,62
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,2.45634,6.68876,114.41,21,79
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.00539,1.0308,49.9,10,90
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.94538,5.07175,94.39,19,81
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,1,120.0,93.0,6.97033,13.47004,321.14,56,37
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,1,120.0,88.0,10.93536,18.4974,437.12,56,32
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,3.42513,5.95873,152.32,41,58
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,2.24484,3.03306,104.34,29,71
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.46403,0.33961,27.12,0,100
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,1,120.0,99.0,1.56892,2.07475,73.98,19,80
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,1,120.0,82.0,8.58249,16.31807,378.33,60,22
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.68343,7.05474,76.88,10,90
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.16007,1.91216,58.5,12,88
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,0.8338,0.81037,42.67,5,95
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,2.2993,4.79803,115.47,33,67
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.19891,1.40518,61.69,14,86
2,25x25,45,57,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,3.07533,4.65703,147.4,39,61
2,25x25,45,58,,10,4,0.9,0.9,0.005,50,1,120.0,96.0,4.10314,9.58594,196.35,34,62
2,25x25,45,59,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.19231,1.41797,58.6,14,86
2,25x25,45,62,,10,4,0.9,0.9,0.005,50,1,120.0,100.0,1.23451,1.26309,65.9,18,82
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,1,120.0,70.0,11.6123,19.56982,474.3,46,24
