alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.17033,0.79832,37.06,2,98
2,25x25,40,10,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.61132,0.3808,21.82,0,100
2,25x25,40,30,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.09201,0.82262,40.04,3,97
2,25x25,40,50,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.09573,0.78169,42.9,4,96
2,25x25,40,57,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.871,0.66779,34.21,1,99
2,25x25,40,62,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.50818,1.14561,56.61,10,90
2,25x25,40,79,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.0833,1.24027,44.26,3,97
2,25x25,40,80,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.63161,0.46853,24.24,1,99
2,25x25,40,89,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.82251,1.08279,33.57,1,99
2,25x25,40,99,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.82712,0.75586,33.63,2,98
2,25x25,45,1,,10,4,0.9,0.9,0.005,0,0,120.0,82.0,12.56868,24.54796,588.41,49,33
2,25x25,45,2,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,2.93127,8.56511,138.02,24,75
2,25x25,45,3,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,2.75186,4.68543,124.32,34,65
2,25x25,45,4,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,6.18004,18.54745,290.27,39,61
2,25x25,45,6,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,3.59942,10.29768,172.4,32,68
2,25x25,45,7,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.4597,2.16104,71.37,23,77
2,25x25,45,8,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.14929,1.49012,58.87,12,88
2,25x25,45,11,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.14559,1.20021,63.2,16,84
2,25x25,45,14,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.50346,0.47838,27.93,2,98
2,25x25,45,15,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,2.37956,2.45014,120.93,43,56
2,25x25,45,16,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,1.55799,3.71941,77.8,18,81
2,25x25,45,17,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.22609,1.12191,64.55,16,84
2,25x25,45,18,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,0.75074,1.30277,39.66,5,94
2,25x25,45,19,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,2.55817,3.24805,131.55,43,57
2,25x25,45,21,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,3.21526,6.38842,149.51,42,57
2,25x25,45,23,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.33085,1.2951,67.07,20,80
2,25x25,45,24,,10,4,0.9,0.9,0.005,0,0,120.0,93.0,10.17489,16.32768,476.68,76,17
2,25x25,45,26,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,4.07246,8.17622,189.87,40,59
2,25x25,45,29,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,2.22642,4.38575,105.24,19,81
2,25x25,45,32,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.12362,1.24686,50.07,11,89
2,25x25,45,33,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,1.52362,1.98992,76.95,16,83
2,25x25,45,34,,10,4,0.9,0.9,0.005,0,0,120.0,86.0,11.69177,23.41266,533.58,54,32
2,25x25,45,35,,10,4,0.9,0.9,0.005,0,0,120.0,91.0,5.45435,13.3033,265.56,46,45
2,25x25,45,36,,10,4,0.9,0.9,0.005,0,0,120.0,96.0,3.42976,10.11486,180.02,38,58
2,25x25,45,37,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,3.02583,10.79734,141.05,25,74
2,25x25,45,40,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.83056,1.60946,40.01,6,94
2,25x25,45,41,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.65172,3.82191,83.39,16,84
2,25x25,45,43,,10,4,0.9,0.9,0.005,0,0,120.0,85.0,11.61855,20.77344,539.16,62,23
2,25x25,45,46,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.62634,0.57348,39.63,4,96
2,25x25,45,51,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.92722,1.29052,51.67,10,90
2,25x25,45,52,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.6673,0.68363,32.88,3,97
2,25x25,45,54,,10,4,0.9,0.9,0.005,0,0,120.0,98.0,4.85458,15.12775,242.72,32,66
2,25x25,45,56,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,2.40651,6.65478,111.47,18,82
2,25x25,45,57,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,4.68923,5.42428,149.39,48,52
2,25x25,45,58,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,6.43636,17.32466,221.86,34,66
2,25x25,45,59,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.73134,1.61524,59.26,14,86
2,25x25,45,62,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,2.41784,5.90088,84.05,15,84
2,25x25,45,63,,10,4,0.9,0.9,0.005,0,0,120.0,71.0,15.16298,21.96349,509.83,52,19
2,25x25,45,64,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.03854,0.90181,53.45,13,87
2,25x25,45,65,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.04143,0.99459,54.26,11,89
2,25x25,45,67,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.78491,1.72791,79.16,25,75
2,25x25,45,69,,10,4,0.9,0.9,0.005,0,0,120.0,98.0,4.41965,15.97672,212.16,28,70
2,25x25,45,71,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.99036,1.02894,49.24,9,91
2,25x25,45,72,,10,4,0.9,0.9,0.005,0,0,120.0,97.0,3.44598,6.7342,163.69,49,48
2,25x25,45,73,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.46604,0.49711,25.72,3,97
2,25x25,45,75,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.98076,0.9104,54.34,17,83
2,25x25,45,76,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.60017,0.5823,38.15,4,96
2,25x25,45,77,,10,4,0.9,0.9,0.005,0,0,120.0,96.0,9.48299,18.36044,463.81,68,28
2,25x25,45,82,,10,4,0.9,0.9,0.005,0,0,120.0,96.0,4.45848,11.27468,229.58,43,53
2,25x25,45,83,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.61258,0.79083,33.13,3,97
2,25x25,45,84,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.93943,6.94213,101.07,21,79
2,25x25,45,85,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,2.49685,4.51581,130.02,41,59
2,25x25,45,86,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,3.00859,8.08257,146.87,34,65
2,25x25,45,87,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.84894,0.83931,45.25,10,90
2,25x25,45,88,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.74787,0.72931,38.81,7,93
2,25x25,45,89,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,2.79894,3.58167,129.51,44,56
2,25x25,45,90,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.61455,2.01905,77.73,18,82
2,25x25,45,92,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.70252,1.41329,35.09,4,96
2,25x25,45,93,,10,4,0.9,0.9,0.005,0,0,120.0,96.0,4.03324,11.45067,188.88,42,54
2,25x25,45,95,,10,4,0.9,0.9,0.005,0,0,120.0,87.0,11.75024,21.39537,429.13,47,40
2,25x25,45,96,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.99864,0.93075,35.04,2,98
2,25x25,45,97,,10,4,0.9,0.9,0.005,0,0,120.0,39.0,14.47292,25.52551,583.08,28,11
2,25x25,45,99,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.32471,1.19021,49.75,5,95
2,25x25,50,1,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.27611,0.55849,20.21,4,96
2,25x25,50,9,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.48827,2.71016,116.93,28,72
2,25x25,50,11,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.16995,0.42841,9.7,1,99
2,25x25,50,14,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.32675,0.55592,32.83,9,91
2,25x25,50,16,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.09022,0.05398,8.49,0,100
2,25x25,50,17,,10,4,0.9,0.9,0.005,0,0,120.0,97.0,0.33577,0.79329,35.16,6,91
2,25x25,50,18,,10,4,0.9,0.9,0.005,0,0,120.0,57.0,0.41363,0.979,37.96,7,50
2,25x25,50,21,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.14159,0.73715,12.6,1,99
2,25x25,50,26,,10,4,0.9,0.9,0.005,0,0,120.0,90.0,1.40528,4.24456,122.74,10,80
2,25x25,50,29,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.36353,0.45514,25.16,5,95
2,25x25,50,34,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.81159,5.98574,120.27,18,82
2,25x25,50,44,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.1182,0.16342,9.17,0,100
2,25x25,50,50,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,1.07179,2.32824,71.66,16,84
2,25x25,50,51,,10,4,0.9,0.9,0.005,0,0,120.0,87.0,1.93052,3.47224,141.79,32,55
2,25x25,50,57,,10,4,0.9,0.9,0.005,0,0,120.0,98.0,3.17006,12.08274,223.14,43,55
2,25x25,50,64,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,0.44881,0.91554,41.77,15,85
