alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,25x25,40,9,,10,4,0.9,0.9,0.005,0,0,120.0,92.0,10.2644,13.12979,147.8,,
0,25x25,40,10,,10,4,0.9,0.9,0.005,0,0,120.0,99.0,10.24698,17.61095,153.05,,
0,25x25,40,30,,10,4,0.9,0.9,0.005,0,0,120.0,98.0,10.44192,15.0607,151.29,,
0,25x25,40,50,,10,4,0.9,0.9,0.005,0,0,120.0,98.0,11.8197,16.04477,189.46,,
0,25x25,40,57,,10,4,0.9,0.9,0.005,0,0,120.0,96.0,8.0305,13.20624,133.04,,
0,25x25,40,62,,10,4,0.9,0.9,0.005,0,0,120.0,92.0,12.42724,16.91073,211.76,,
0,25x25,40,79,,10,4,0.9,0.9,0.005,0,0,120.0,94.0,10.38698,12.80095,183.35,,
0,25x25,40,80,,10,4,0.9,0.9,0.005,0,0,120.0,100.0,5.42349,6.64044,83.63,,
0,25x25,40,89,,10,4,0.9,0.9,0.005,0,0,120.0,90.0,6.2658,9.03124,99.09,,
0,25x25,40,99,,10,4,0.9,0.9,0.005,0,0,120.0,93.0,8.00378,13.93308,136.25,,
