alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,,10,4,0.9,0.9,0.005,50,5.0,99.0,0.05789,0.04474,69.51,,
0,2020_00021,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08282,0.07164,96.0,,
0,2020_00041,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09814,0.09946,109.96,,
0,2020_00049,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12764,0.1494,137.84,,
0,2020_00054,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07398,0.06648,86.54,,
0,2020_00057,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03952,0.04334,49.62,,
0,2020_00081,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12126,0.11792,135.99,,
0,2020_00095,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08327,0.07736,100.22,,
0,2020_00153,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.11318,0.10533,129.03,,
0,2020_00155,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.075,0.08735,75.12,,
0,2020_00159,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10286,0.1028,117.99,,
0,2020_00175,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.05547,0.05238,73.64,,
0,2020_00177,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.11473,0.10709,131.93,,
0,2020_00179,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09561,0.09701,112.34,,
0,2020_00203,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08367,0.08773,96.73,,
0,2020_00217,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1056,0.12543,120.88,,
0,2020_00223,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07009,0.08297,87.27,,
0,2020_00231,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0747,0.07691,88.85,,
0,2020_00242,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.21712,0.23094,240.06,,
0,2020_00262,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.23591,0.20999,240.6,,
0,2020_00264,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10203,0.11232,113.99,,
0,2020_00312,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.17305,0.19337,182.32,,
0,2020_00333,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.15186,0.13845,159.07,,
0,2020_00340,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.21157,0.20269,220.44,,
0,2020_00341,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1759,0.14679,188.88,,
0,2020_00357,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06136,0.06237,79.97,,
0,2020_00358,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07374,0.07738,91.84,,
0,2020_00361,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06874,0.06772,85.2,,
0,2020_00363,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0655,0.05943,84.01,,
0,2020_00374,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06539,0.06395,81.25,,
0,2020_00376,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06428,0.05645,80.51,,
0,2020_00403,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08861,0.09253,102.84,,
0,2020_00427,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08226,0.08991,104.01,,
0,2020_00429,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08939,0.08584,101.07,,
0,2020_00439,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.19457,0.18981,207.4,,
0,2020_00454,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08649,0.08184,103.72,,
0,2020_00466,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.15976,0.15209,183.92,,
0,2020_00472,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09456,0.08911,114.77,,
0,2020_00483,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07716,0.0796,96.15,,
0,2020_00490,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1288,0.12874,146.18,,
0,2020_00491,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1229,0.1263,139.06,,
0,2020_00493,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08964,0.08619,105.27,,
0,2020_00495,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08087,0.0745,96.73,,
0,2020_00504,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12827,0.12947,135.64,,
0,2020_00524,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07459,0.06795,89.96,,
0,2020_00570,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09742,0.10163,108.72,,
0,2020_00574,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07682,0.07403,85.68,,
0,2020_00599,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.15862,0.14783,179.12,,
0,2020_00616,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06882,0.06861,82.53,,
0,2020_00619,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0675,0.06639,82.74,,
0,2020_00625,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07878,0.09192,92.18,,
0,2020_00665,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.16051,0.14984,182.4,,
0,2020_00684,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10522,0.10654,123.28,,
0,2020_00694,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07158,0.07148,87.16,,
0,2020_00696,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10842,0.09849,124.9,,
0,2020_00698,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07405,0.06841,88.17,,
0,2020_00708,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08404,0.07946,101.06,,
0,2020_00712,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08851,0.08579,105.99,,
0,2020_00719,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08188,0.08165,98.12,,
0,2020_00726,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08067,0.07592,97.09,,
0,2020_00728,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10958,0.09466,126.09,,
0,2020_00729,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09087,0.07568,103.22,,
0,2020_00735,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10944,0.10191,116.74,,
0,2020_00742,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.11799,0.12506,137.65,,
0,2020_00743,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08355,0.09248,101.26,,
0,2020_00744,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10238,0.08863,120.85,,
0,2020_00753,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0841,0.08414,96.54,,
0,2020_00767,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12095,0.1131,131.04,,
0,2020_00768,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08012,0.0989,93.88,,
0,2020_00782,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09409,0.08763,108.56,,
0,2020_00819,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,6.1422,60.111,85.89,,
0,2020_00839,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.14738,0.14092,130.4,,
0,2020_00847,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10555,0.11253,115.56,,
0,2020_00860,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09451,0.09279,105.82,,
0,2020_00861,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0744,0.06899,88.01,,
0,2020_00869,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1282,0.11855,137.78,,
0,2020_00875,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08555,0.07684,98.87,,
0,2020_00885,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.11186,0.12734,126.66,,
0,2020_00890,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06063,0.05691,72.96,,
0,2020_00905,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0705,0.0845,82.49,,
0,2020_00906,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08043,0.07342,89.58,,
0,2020_00908,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06338,0.07315,76.39,,
0,2020_00910,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.10832,0.08716,125.53,,
0,2020_00914,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1018,0.09509,116.09,,
0,2020_00917,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12169,0.12041,109.47,,
0,2020_00932,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08315,0.06853,81.25,,
0,2020_00939,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06959,0.07167,71.72,,
0,2020_00942,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1084,0.11028,105.93,,
0,2020_00950,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.1107,0.11469,109.82,,
0,2020_00952,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.13131,0.12236,125.19,,
0,2020_00960,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12199,0.11918,113.46,,
0,2020_00961,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.15373,0.18069,129.7,,
0,2020_00964,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09778,0.12501,92.43,,
0,2020_00966,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.12323,0.12281,114.17,,
0,2020_00968,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09254,0.10595,94.71,,
0,2020_00986,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08989,0.10091,78.17,,
0,2020_00993,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0869,0.09598,82.12,,
