alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,,10,4,0.9,0.9,0.005,0,5.0,99.0,0.09101,0.49808,178.91,,
0,2020_00021,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05815,0.04532,99.9,,
0,2020_00041,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05024,0.04869,96.63,,
0,2020_00049,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0571,0.05148,102.23,,
0,2020_00054,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0565,0.04284,95.64,,
0,2020_00057,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02435,0.02083,46.11,,
0,2020_00081,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06118,0.05269,117.33,,
0,2020_00095,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05386,0.04763,110.85,,
0,2020_00153,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06998,0.05466,138.13,,
0,2020_00155,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04908,0.04455,89.08,,
0,2020_00159,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04926,0.04961,101.62,,
0,2020_00175,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03173,0.02254,67.96,,
0,2020_00177,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.08135,0.08001,170.05,,
0,2020_00179,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0539,0.04794,110.98,,
0,2020_00203,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04817,0.03706,93.8,,
0,2020_00217,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06688,0.05206,135.8,,
0,2020_00223,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04429,0.03141,90.47,,
0,2020_00231,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05171,0.04149,100.72,,
0,2020_00242,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.09672,0.08289,191.25,,
0,2020_00262,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.11848,0.1126,233.7,,
0,2020_00264,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.08433,0.06676,171.4,,
0,2020_00312,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.10637,0.09622,201.3,,
0,2020_00333,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07667,0.07161,147.98,,
0,2020_00340,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.10634,0.09173,207.75,,
0,2020_00341,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.12202,0.09449,216.25,,
0,2020_00357,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03636,0.03192,80.09,,
0,2020_00358,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04238,0.03898,91.9,,
0,2020_00361,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03971,0.0295,81.34,,
0,2020_00363,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0471,0.03324,102.15,,
0,2020_00374,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03845,0.02945,80.03,,
0,2020_00376,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04658,0.03889,101.61,,
0,2020_00403,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04834,0.04085,96.47,,
0,2020_00427,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05391,0.04949,103.56,,
0,2020_00429,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0616,0.05283,131.52,,
0,2020_00439,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.13227,0.12616,252.04,,
0,2020_00454,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05009,0.04715,101.92,,
0,2020_00466,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.11335,0.10063,234.51,,
0,2020_00472,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07658,0.08721,141.1,,
0,2020_00483,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04833,0.03323,94.98,,
0,2020_00490,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07555,0.08495,125.98,,
0,2020_00491,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07197,0.07024,142.8,,
0,2020_00493,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04451,0.03582,90.07,,
0,2020_00495,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05485,0.05194,114.11,,
0,2020_00504,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0622,0.06047,119.67,,
0,2020_00524,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04581,0.04621,88.41,,
0,2020_00570,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06011,0.05349,106.86,,
0,2020_00574,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05372,0.04123,95.6,,
0,2020_00599,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0786,0.06576,156.73,,
0,2020_00616,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0525,0.04235,109.92,,
0,2020_00619,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05005,0.03696,102.77,,
0,2020_00625,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04709,0.0409,97.58,,
0,2020_00665,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07707,0.06721,158.86,,
0,2020_00684,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06074,0.05717,123.45,,
0,2020_00694,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04709,0.04799,92.94,,
0,2020_00696,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06686,0.05975,133.62,,
0,2020_00698,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04241,0.03399,86.32,,
0,2020_00708,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05826,0.04739,119.58,,
0,2020_00712,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05604,0.05778,118.86,,
0,2020_00719,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04984,0.05232,105.32,,
0,2020_00726,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0408,0.03105,83.22,,
0,2020_00728,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06349,0.04914,125.2,,
0,2020_00729,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05634,0.0476,107.81,,
0,2020_00735,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05795,0.05345,120.88,,
0,2020_00742,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07131,0.05598,142.88,,
0,2020_00743,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04259,0.03842,83.69,,
0,2020_00744,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07205,0.06349,149.91,,
0,2020_00753,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05403,0.05477,109.09,,
0,2020_00767,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05956,0.05257,110.08,,
0,2020_00768,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05004,0.04687,99.54,,
0,2020_00782,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05446,0.05374,106.36,,
0,2020_00819,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05087,0.04632,108.9,,
0,2020_00839,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05419,0.04618,112.91,,
0,2020_00847,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06853,0.06373,122.91,,
0,2020_00860,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04884,0.04212,92.18,,
0,2020_00861,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04585,0.03686,88.0,,
0,2020_00869,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07469,0.06601,140.82,,
0,2020_00875,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05258,0.03963,102.53,,
0,2020_00885,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06523,0.06524,128.19,,
0,2020_00890,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03444,0.03224,70.23,,
0,2020_00905,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04909,0.0462,99.82,,
0,2020_00906,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04487,0.03777,89.75,,
