alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.01812,0.01647,23.08,1,99
2,2020_00021,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03679,0.04103,30.06,2,98
2,2020_00041,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02963,0.03606,26.37,2,98
2,2020_00049,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04085,0.04797,34.01,3,97
2,2020_00054,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03319,0.0292,29.22,0,100
2,2020_00057,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02043,0.02432,17.25,0,100
2,2020_00081,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.05708,0.05496,44.12,7,93
2,2020_00095,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04046,0.04259,38.83,5,95
2,2020_00153,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06749,0.05741,48.47,6,94
2,2020_00155,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04072,0.05059,30.08,4,96
2,2020_00159,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.05157,0.05971,42.27,4,96
2,2020_00175,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02483,0.02857,24.5,1,99
2,2020_00177,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06101,0.08589,45.56,6,94
2,2020_00179,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03376,0.03683,30.33,1,99
2,2020_00203,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02735,0.02984,25.73,1,99
2,2020_00217,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04403,0.05033,41.71,8,92
2,2020_00223,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03705,0.03711,35.27,4,96
2,2020_00231,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04561,0.05868,36.13,2,98
2,2020_00242,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.09802,0.09628,70.8,21,79
2,2020_00262,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.06143,0.06806,52.33,15,85
2,2020_00264,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04456,0.03741,45.52,4,96
2,2020_00312,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07673,0.13123,50.13,17,83
2,2020_00333,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.04785,0.05767,41.5,10,90
2,2020_00340,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.07517,0.07383,64.21,18,82
2,2020_00341,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.08088,0.07689,60.68,17,83
2,2020_00357,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.03251,0.03933,27.15,0,100
2,2020_00358,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02056,0.02252,24.57,0,100
2,2020_00361,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02308,0.02324,26.06,1,99
2,2020_00363,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.0247,0.02685,28.61,1,99
2,2020_00374,,,,10,4,0.9,0.9,0.005,50,5.0,100.0,0.02125,0.02351,22.76,1,99
