alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.01688,0.01315,25.29,0,100
2,2020_00021,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0269,0.02189,40.22,5,95
2,2020_00041,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02011,0.02418,25.78,2,98
2,2020_00049,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03155,0.03075,32.85,6,94
2,2020_00054,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0256,0.01984,30.28,2,98
2,2020_00057,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.01558,0.0118,17.02,0,100
2,2020_00081,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0349,0.02837,40.22,7,93
2,2020_00095,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02139,0.01638,25.06,0,100
2,2020_00153,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04017,0.02851,44.78,4,96
2,2020_00155,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03065,0.02631,33.11,3,97
2,2020_00159,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03137,0.02516,37.08,3,97
2,2020_00175,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.01653,0.01191,20.52,0,100
2,2020_00177,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04398,0.03485,41.69,4,96
2,2020_00179,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03527,0.05145,32.24,3,97
2,2020_00203,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02871,0.02923,26.53,3,97
2,2020_00217,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02739,0.02273,35.85,3,97
2,2020_00223,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02314,0.01899,27.79,1,99
2,2020_00231,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03412,0.02823,39.72,4,96
2,2020_00242,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06625,0.06264,73.31,23,77
2,2020_00262,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04544,0.03635,55.1,15,85
2,2020_00264,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03254,0.025,39.97,4,96
2,2020_00312,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04399,0.05178,45.72,12,88
2,2020_00333,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03824,0.03197,42.75,8,92
2,2020_00340,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0462,0.03977,53.78,15,85
2,2020_00341,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05251,0.04398,56.26,14,86
2,2020_00357,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0231,0.03155,24.8,1,99
2,2020_00358,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02239,0.0205,27.88,3,97
2,2020_00361,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02556,0.02399,28.23,0,100
2,2020_00363,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02724,0.02467,35.06,3,97
2,2020_00374,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02108,0.01641,28.29,1,99
2,2020_00376,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.01754,0.0175,24.16,1,99
2,2020_00403,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02333,0.02327,27.29,2,98
2,2020_00427,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02326,0.01888,30.49,1,99
2,2020_00429,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03041,0.0286,37.41,4,96
2,2020_00439,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05481,0.04617,59.75,17,83
2,2020_00454,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02417,0.0162,33.89,0,100
2,2020_00466,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05001,0.05351,54.34,14,86
2,2020_00472,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03013,0.03594,34.29,2,98
2,2020_00483,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02143,0.01542,29.5,2,98
2,2020_00490,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04902,0.05729,45.82,7,93
2,2020_00491,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0554,0.059,51.09,9,91
2,2020_00493,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04204,0.03426,43.53,6,94
2,2020_00495,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03428,0.02719,34.99,3,97
2,2020_00504,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03751,0.03262,35.37,6,94
2,2020_00524,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03105,0.0257,31.02,2,98
2,2020_00570,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04505,0.03465,43.29,8,92
2,2020_00574,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03357,0.02951,29.75,2,98
2,2020_00599,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0462,0.04875,43.46,11,89
2,2020_00616,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02559,0.02663,27.89,1,99
2,2020_00619,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02589,0.0241,26.51,0,100
2,2020_00625,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03352,0.02818,31.76,1,99
2,2020_00665,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05532,0.05478,50.5,8,92
2,2020_00684,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03824,0.03553,35.35,1,99
2,2020_00694,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02666,0.03036,24.04,3,97
2,2020_00696,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03328,0.02638,31.15,1,99
2,2020_00698,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03139,0.02198,30.76,1,99
2,2020_00708,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03744,0.03039,36.76,5,95
2,2020_00712,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03239,0.02868,31.96,3,97
2,2020_00719,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02721,0.0288,27.32,2,98
2,2020_00726,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02993,0.02119,29.3,0,100
2,2020_00728,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04529,0.04945,39.04,4,96
2,2020_00729,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04508,0.03636,40.63,6,94
2,2020_00735,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03172,0.02651,28.9,0,100
2,2020_00742,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03682,0.04228,32.58,7,93
2,2020_00743,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03177,0.03273,30.77,3,97
2,2020_00744,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03568,0.03392,35.28,4,96
2,2020_00753,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.039,0.03803,34.83,4,96
2,2020_00767,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04619,0.04242,40.88,8,92
2,2020_00768,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0257,0.02854,23.52,2,98
2,2020_00782,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03857,0.0333,37.01,6,94
2,2020_00819,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03195,0.02599,31.62,2,98
2,2020_00839,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04086,0.03667,39.73,7,93
2,2020_00847,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04,0.03779,36.01,4,96
2,2020_00860,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0359,0.02795,33.08,0,100
2,2020_00861,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0329,0.02749,31.25,1,99
2,2020_00869,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04663,0.04295,41.93,8,92
2,2020_00875,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05342,0.04791,40.99,6,94
2,2020_00885,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0479,0.05758,39.45,5,95
2,2020_00890,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02541,0.02983,22.15,1,99
2,2020_00905,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03263,0.02726,30.59,1,99
2,2020_00906,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03352,0.02711,28.71,0,100
2,2020_00908,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05768,0.30501,22.88,0,100
2,2020_00910,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04581,0.05834,42.11,6,94
2,2020_00914,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03644,0.0352,33.66,2,98
2,2020_00917,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03111,0.03155,29.74,3,97
2,2020_00932,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03031,0.02073,31.15,0,100
2,2020_00939,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.0257,0.02079,25.06,0,100
2,2020_00942,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03511,0.03004,34.01,2,98
2,2020_00950,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03875,0.04268,36.27,5,95
2,2020_00952,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03386,0.0398,31.45,0,100
2,2020_00960,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06616,0.06906,48.53,11,89
2,2020_00961,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.05043,0.05006,37.27,3,97
2,2020_00964,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03232,0.05189,21.17,2,98
2,2020_00966,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.04927,0.04242,33.83,3,97
2,2020_00968,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03299,0.02291,30.1,0,100
2,2020_00986,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.02403,0.02687,17.73,1,99
2,2020_00993,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.09586,0.50801,24.11,2,98
2,2020_00997,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.079,0.07811,73.93,25,75
2,2020_00998,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.07225,0.07324,61.99,20,80
2,2020_00999,,,,10,4,0.9,0.9,0.005,0,5.0,100.0,0.03787,0.04027,35.74,3,97
