alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04704,0.04606,64.13,,
0,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08088,0.06982,88.58,,
0,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08893,0.08953,90.88,,
0,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.10323,0.09928,108.47,,
0,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0729,0.05496,79.41,,
0,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04343,0.04549,52.5,,
0,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.11083,0.11334,116.79,,
0,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.09775,0.0998,110.81,,
0,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.13465,0.1411,139.35,,
0,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,50,1,5.0,99.0,0.12523,0.15004,94.07,,
0,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.11192,0.09754,106.58,,
0,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.07849,0.08107,80.74,,
0,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.11926,0.13917,109.84,,
0,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.09656,0.08145,94.66,,
0,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.10183,0.1054,95.2,,
0,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.10804,0.10427,101.14,,
0,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.10424,0.10089,93.69,,
0,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.13782,0.12343,109.36,,
0,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,50,1,5.0,99.0,0.31332,0.47966,207.0,,
0,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.27088,0.38076,205.41,,
0,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.16472,0.18026,149.54,,
0,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.23491,0.23971,197.85,,
0,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.19425,0.17631,181.08,,
0,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.21868,0.23978,189.72,,
0,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.2124,0.19233,172.98,,
0,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06674,0.07231,71.32,,
0,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.12041,0.22727,77.97,,
0,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.12532,0.23826,79.36,,
0,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.09392,0.09654,94.67,,
0,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.12758,0.18027,89.82,,
0,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08436,0.08934,86.87,,
0,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.1121,0.10678,96.65,,
