alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0719,0.26951,129.62,,
0,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06917,0.06053,100.61,,
0,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06163,0.05004,99.83,,
0,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0813,0.08097,106.66,,
0,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06845,0.06059,99.75,,
0,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03128,0.02222,51.07,,
0,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.09217,0.09406,166.31,,
0,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06686,0.06553,131.45,,
0,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07452,0.06957,136.64,,
0,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05652,0.05043,93.29,,
0,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06195,0.04542,122.4,,
0,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04098,0.03957,72.89,,
0,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08606,0.06259,163.74,,
0,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08256,0.07826,110.43,,
0,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08371,0.11496,92.14,,
0,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.11809,0.12212,126.35,,
0,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07177,0.06023,91.99,,
0,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.10296,0.08794,117.49,,
0,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.19629,0.18082,212.81,,
0,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.17799,0.19291,203.15,,
0,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.13768,0.13665,160.88,,
0,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.2143,0.19628,178.46,,
0,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.20172,0.25453,166.33,,
0,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.23315,0.21644,225.3,,
0,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.18525,0.16454,201.4,,
0,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06321,0.0572,91.76,,
0,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08464,0.08704,101.32,,
0,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08188,0.07335,86.53,,
0,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0955,0.09998,108.65,,
0,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07392,0.06764,102.62,,
0,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.06496,0.06295,88.11,,
0,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08857,0.08919,94.18,,
0,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.10229,0.13067,107.3,,
0,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.09161,0.11454,104.34,,
0,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.16932,0.17077,210.18,,
0,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07851,0.08386,113.3,,
