alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06627,0.07428,88.09,,
0,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.08526,0.08691,87.3,,
0,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.12039,0.13396,108.85,,
0,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.13361,0.1478,101.01,,
0,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.13807,0.11346,86.71,,
0,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.09703,0.08699,48.63,,
0,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.20756,0.19864,130.55,,
0,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.17428,0.14509,110.49,,
0,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.16706,0.18137,129.98,,
0,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.12319,0.09435,102.01,,
0,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.13928,0.11158,117.41,,
0,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.06752,0.06455,68.55,,
0,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0,5.0,100.0,0.14251,0.1447,168.95,,
