alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02637,0.04929,52.13,,
0,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02837,0.02233,58.89,,
0,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05052,0.05093,110.41,,
0,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05604,0.04403,115.76,,
0,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03835,0.03299,82.49,,
0,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01966,0.01461,38.55,,
0,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.10487,0.08575,224.44,,
0,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03573,0.0334,78.33,,
0,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04177,0.04046,84.37,,
0,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0566,0.05794,111.95,,
0,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05019,0.05469,111.42,,
0,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03803,0.03402,93.82,,
0,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04687,0.04632,102.61,,
0,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02457,0.0197,54.04,,
0,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03257,0.02937,67.19,,
0,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0696,0.07314,145.93,,
0,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03625,0.02935,79.12,,
0,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04655,0.049,89.82,,
0,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.11082,0.09386,239.02,,
0,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.11711,0.11622,251.37,,
0,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.08748,0.09702,181.56,,
0,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.13724,0.10812,272.4,,
0,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.10349,0.10895,199.91,,
