alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02733,0.02823,25.32,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04522,0.05486,35.19,4,96
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03802,0.03955,29.21,0,100
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04366,0.05249,33.07,4,96
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03759,0.03641,33.2,3,97
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.01869,0.01705,17.76,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06731,0.071,49.07,10,90
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0509,0.05632,34.63,2,98
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05716,0.05845,41.28,3,97
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05372,0.0764,33.12,5,95
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04163,0.04489,32.1,2,98
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03008,0.03204,25.19,0,100
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06031,0.06253,46.1,6,94
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04287,0.04882,34.84,5,95
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04088,0.05277,30.81,3,97
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04679,0.05598,36.69,6,94
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03743,0.03708,31.91,2,98
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05454,0.05552,41.58,6,94
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.11807,0.12229,70.85,22,78
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.09986,0.11802,66.29,22,78
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0623,0.06231,50.9,12,88
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05467,0.08001,41.41,5,95
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05037,0.06292,38.65,10,90
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08736,0.07908,65.23,20,80
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08841,0.09765,58.6,17,83
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03329,0.03742,28.73,2,98
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02782,0.03402,24.31,0,100
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0319,0.03814,29.64,3,97
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03539,0.03658,34.06,2,98
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02763,0.03174,26.73,2,98
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03382,0.04748,32.49,3,97
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03176,0.03398,29.5,1,99
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05729,0.06371,42.76,6,94
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03471,0.03377,30.82,0,100
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0689,0.06566,50.95,12,88
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03874,0.04258,33.77,4,96
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.08348,0.07824,65.82,21,79
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04132,0.0374,38.37,1,99
2,2020_00483,,,instances\9x9-database\2020_00483.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02774,0.03076,26.34,1,99
2,2020_00490,,,instances\9x9-database\2020_00490.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06105,0.05999,48.53,9,91
2,2020_00491,,,instances\9x9-database\2020_00491.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06237,0.05759,48.93,7,93
2,2020_00493,,,instances\9x9-database\2020_00493.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04134,0.04636,34.96,5,95
2,2020_00495,,,instances\9x9-database\2020_00495.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03447,0.04021,32.45,2,98
2,2020_00504,,,instances\9x9-database\2020_00504.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04151,0.0592,31.38,5,95
2,2020_00524,,,instances\9x9-database\2020_00524.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0397,0.04093,33.94,3,97
2,2020_00570,,,instances\9x9-database\2020_00570.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04001,0.03985,33.49,3,97
2,2020_00574,,,instances\9x9-database\2020_00574.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03562,0.04187,30.54,2,98
2,2020_00599,,,instances\9x9-database\2020_00599.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06594,0.07761,53.79,15,85
2,2020_00616,,,instances\9x9-database\2020_00616.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.0292,0.03692,29.75,2,98
2,2020_00619,,,instances\9x9-database\2020_00619.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.03119,0.03391,30.33,3,97
2,2020_00625,,,instances\9x9-database\2020_00625.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02984,0.02717,30.38,0,100
2,2020_00665,,,instances\9x9-database\2020_00665.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.06077,0.06896,52.29,11,89
2,2020_00684,,,instances\9x9-database\2020_00684.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.04315,0.04709,39.53,4,96
2,2020_00694,,,instances\9x9-database\2020_00694.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02406,0.02799,19.8,0,100
2,2020_00696,,,instances\9x9-database\2020_00696.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.05411,0.05836,42.58,8,92
2,2020_00698,,,instances\9x9-database\2020_00698.txt,10,4,0.9,0.9,0.005,50,1,5.0,100.0,0.02962,0.02394,29.64,0,100
