alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,2020_00004,,,instances\9x9-database\2020_00004.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01663,0.01384,24.04,0,100
2,2020_00021,,,instances\9x9-database\2020_00021.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02523,0.02081,32.76,2,98
2,2020_00041,,,instances\9x9-database\2020_00041.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02351,0.03225,26.14,1,99
2,2020_00049,,,instances\9x9-database\2020_00049.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02563,0.02296,30.85,3,97
2,2020_00054,,,instances\9x9-database\2020_00054.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02632,0.01974,34.72,3,97
2,2020_00057,,,instances\9x9-database\2020_00057.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01412,0.01103,15.42,0,100
2,2020_00081,,,instances\9x9-database\2020_00081.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03238,0.02456,40.58,5,95
2,2020_00095,,,instances\9x9-database\2020_00095.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02964,0.02291,38.92,5,95
2,2020_00153,,,instances\9x9-database\2020_00153.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03088,0.02048,39.14,2,98
2,2020_00155,,,instances\9x9-database\2020_00155.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02371,0.02739,27.43,2,98
2,2020_00159,,,instances\9x9-database\2020_00159.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02763,0.0205,36.66,2,98
2,2020_00175,,,instances\9x9-database\2020_00175.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01967,0.01617,27.48,1,99
2,2020_00177,,,instances\9x9-database\2020_00177.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03238,0.02599,41.55,4,96
2,2020_00179,,,instances\9x9-database\2020_00179.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02833,0.02502,36.01,6,94
2,2020_00203,,,instances\9x9-database\2020_00203.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03149,0.03088,34.8,4,96
2,2020_00217,,,instances\9x9-database\2020_00217.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0353,0.03548,36.46,2,98
2,2020_00223,,,instances\9x9-database\2020_00223.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03002,0.01951,29.89,0,100
2,2020_00231,,,instances\9x9-database\2020_00231.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0467,0.04719,35.23,4,96
2,2020_00242,,,instances\9x9-database\2020_00242.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07578,0.06897,71.58,28,72
2,2020_00262,,,instances\9x9-database\2020_00262.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07283,0.06353,67.37,26,74
2,2020_00264,,,instances\9x9-database\2020_00264.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0458,0.03968,47.14,8,92
2,2020_00312,,,instances\9x9-database\2020_00312.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.041,0.05109,39.42,8,92
2,2020_00333,,,instances\9x9-database\2020_00333.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04145,0.03513,40.26,5,95
2,2020_00340,,,instances\9x9-database\2020_00340.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07195,0.07062,62.96,18,82
2,2020_00341,,,instances\9x9-database\2020_00341.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.07211,0.06791,62.26,16,84
2,2020_00357,,,instances\9x9-database\2020_00357.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02384,0.0211,28.24,2,98
2,2020_00358,,,instances\9x9-database\2020_00358.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02072,0.01806,23.35,0,100
2,2020_00361,,,instances\9x9-database\2020_00361.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03166,0.02787,26.46,0,100
2,2020_00363,,,instances\9x9-database\2020_00363.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.028,0.02341,30.4,0,100
2,2020_00374,,,instances\9x9-database\2020_00374.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02606,0.02273,27.82,2,98
2,2020_00376,,,instances\9x9-database\2020_00376.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02633,0.0232,30.29,2,98
2,2020_00403,,,instances\9x9-database\2020_00403.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0271,0.02605,28.37,2,98
2,2020_00427,,,instances\9x9-database\2020_00427.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02643,0.02234,37.96,3,97
2,2020_00429,,,instances\9x9-database\2020_00429.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.031,0.03097,38.83,9,91
2,2020_00439,,,instances\9x9-database\2020_00439.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05525,0.04942,57.77,19,81
2,2020_00454,,,instances\9x9-database\2020_00454.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0247,0.02037,31.22,0,100
2,2020_00466,,,instances\9x9-database\2020_00466.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04886,0.04507,61.82,13,87
2,2020_00472,,,instances\9x9-database\2020_00472.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03202,0.02775,38.08,4,96
2,2020_00483,,,instances\9x9-database\2020_00483.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02354,0.01839,32.48,3,97
2,2020_00490,,,instances\9x9-database\2020_00490.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.05162,0.04832,45.65,6,94
2,2020_00491,,,instances\9x9-database\2020_00491.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04073,0.0363,42.05,8,92
2,2020_00493,,,instances\9x9-database\2020_00493.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02756,0.02174,30.49,3,97
2,2020_00495,,,instances\9x9-database\2020_00495.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02943,0.02189,32.2,2,98
2,2020_00504,,,instances\9x9-database\2020_00504.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03437,0.03196,36.39,5,95
2,2020_00524,,,instances\9x9-database\2020_00524.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0312,0.02393,34.57,3,97
2,2020_00570,,,instances\9x9-database\2020_00570.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03806,0.03103,36.7,5,95
2,2020_00574,,,instances\9x9-database\2020_00574.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02723,0.02444,28.14,2,98
2,2020_00599,,,instances\9x9-database\2020_00599.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.054,0.05396,54.66,15,85
2,2020_00616,,,instances\9x9-database\2020_00616.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0216,0.01786,26.02,0,100
2,2020_00619,,,instances\9x9-database\2020_00619.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02659,0.02307,32.68,5,95
2,2020_00625,,,instances\9x9-database\2020_00625.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03288,0.027,35.92,1,99
2,2020_00665,,,instances\9x9-database\2020_00665.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04218,0.03785,52.58,11,89
2,2020_00684,,,instances\9x9-database\2020_00684.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03196,0.02663,38.93,4,96
2,2020_00694,,,instances\9x9-database\2020_00694.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02037,0.01934,26.37,0,100
2,2020_00696,,,instances\9x9-database\2020_00696.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02897,0.03024,35.84,6,94
2,2020_00698,,,instances\9x9-database\2020_00698.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02376,0.01642,30.81,1,99
2,2020_00708,,,instances\9x9-database\2020_00708.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02639,0.0224,33.5,2,98
2,2020_00712,,,instances\9x9-database\2020_00712.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02639,0.02302,33.9,4,96
2,2020_00719,,,instances\9x9-database\2020_00719.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02384,0.0253,26.58,1,99
2,2020_00726,,,instances\9x9-database\2020_00726.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02347,0.01882,28.88,1,99
2,2020_00728,,,instances\9x9-database\2020_00728.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03206,0.02049,39.0,2,98
2,2020_00729,,,instances\9x9-database\2020_00729.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03173,0.03054,37.65,5,95
2,2020_00735,,,instances\9x9-database\2020_00735.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02861,0.02326,36.16,3,97
2,2020_00742,,,instances\9x9-database\2020_00742.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02528,0.0232,32.57,3,97
2,2020_00743,,,instances\9x9-database\2020_00743.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02,0.02104,24.74,1,99
2,2020_00744,,,instances\9x9-database\2020_00744.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02731,0.02809,35.4,6,94
2,2020_00753,,,instances\9x9-database\2020_00753.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02372,0.01739,30.45,1,99
2,2020_00767,,,instances\9x9-database\2020_00767.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03421,0.02544,40.54,1,99
2,2020_00768,,,instances\9x9-database\2020_00768.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01887,0.02148,23.1,2,98
2,2020_00782,,,instances\9x9-database\2020_00782.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02957,0.01939,37.91,2,98
2,2020_00819,,,instances\9x9-database\2020_00819.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03016,0.02679,34.49,0,100
2,2020_00839,,,instances\9x9-database\2020_00839.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03234,0.02582,37.31,3,97
2,2020_00847,,,instances\9x9-database\2020_00847.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02996,0.02989,34.43,4,96
2,2020_00860,,,instances\9x9-database\2020_00860.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03402,0.02613,34.62,0,100
2,2020_00861,,,instances\9x9-database\2020_00861.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03027,0.02314,33.74,1,99
2,2020_00869,,,instances\9x9-database\2020_00869.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03614,0.03898,38.01,9,91
2,2020_00875,,,instances\9x9-database\2020_00875.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.037,0.02617,36.52,0,100
2,2020_00885,,,instances\9x9-database\2020_00885.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03514,0.03386,34.41,5,95
2,2020_00890,,,instances\9x9-database\2020_00890.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02129,0.01776,24.76,0,100
2,2020_00905,,,instances\9x9-database\2020_00905.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0268,0.02513,31.69,3,97
2,2020_00906,,,instances\9x9-database\2020_00906.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03036,0.02674,30.67,1,99
2,2020_00908,,,instances\9x9-database\2020_00908.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01907,0.01791,22.28,0,100
2,2020_00910,,,instances\9x9-database\2020_00910.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03555,0.02819,38.57,8,92
2,2020_00914,,,instances\9x9-database\2020_00914.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03286,0.02832,33.59,3,97
2,2020_00917,,,instances\9x9-database\2020_00917.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.04254,0.03412,38.27,4,96
2,2020_00932,,,instances\9x9-database\2020_00932.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03944,0.03536,33.32,1,99
2,2020_00939,,,instances\9x9-database\2020_00939.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0245,0.01921,30.7,2,98
2,2020_00942,,,instances\9x9-database\2020_00942.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02827,0.02848,31.28,1,99
2,2020_00950,,,instances\9x9-database\2020_00950.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.02698,0.02312,31.78,2,98
2,2020_00952,,,instances\9x9-database\2020_00952.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03003,0.02213,37.13,3,97
2,2020_00960,,,instances\9x9-database\2020_00960.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03918,0.03346,44.14,8,92
2,2020_00961,,,instances\9x9-database\2020_00961.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.03112,0.02634,33.33,2,98
2,2020_00964,,,instances\9x9-database\2020_00964.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.01905,0.02448,19.33,1,99
2,2020_00966,,,instances\9x9-database\2020_00966.txt,10,4,0.9,0.9,0.005,0,0,5.0,100.0,0.0327,0.02846,37.6,5,95
