alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00997,0.00527,5.47,0,100
2,16x16,,2205,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01582,0.02855,7.6,0,100
2,16x16,,2211,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00755,0.00311,4.68,0,100
2,16x16,,2214,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01358,0.04448,6.16,1,99
2,16x16,,2223,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01311,0.01932,5.74,0,100
2,16x16,,2228,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.06061,0.09993,26.59,5,95
2,16x16,,2230,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01187,0.00763,6.22,0,100
2,16x16,,2233,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.06825,0.28187,23.51,5,95
2,16x16,,2234,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01734,0.02125,9.38,0,100
2,16x16,,2237,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.06918,0.15132,25.34,8,92
2,16x16,,2251,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00752,0.00371,4.0,0,100
2,16x16,,2256,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.04006,0.06325,17.52,2,98
2,16x16,,2265,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00593,0.0017,2.43,0,100
2,16x16,,2280,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00928,0.0061,4.57,0,100
2,16x16,,2281,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00867,0.00611,4.9,0,100
2,16x16,,2288,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03356,0.06522,15.05,3,97
2,16x16,,2291,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0068,0.00325,3.01,0,100
2,16x16,,2292,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0118,0.01656,6.02,0,100
2,16x16,,2297,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0205,0.02627,10.35,0,100
2,16x16,,2300,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00779,0.01452,4.19,0,100
2,16x16,,2314,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01912,0.0333,8.93,0,100
2,16x16,,2330,,5,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00798,0.00794,4.33,0,100
