alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01744,0.01407,3.94,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02538,0.03896,6.16,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01088,0.00439,3.69,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01202,0.00438,3.81,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01551,0.00911,4.39,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.05695,0.06898,15.83,0,100
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01336,0.0092,3.99,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0171,0.02746,4.58,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01997,0.02957,5.96,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.11929,0.20738,24.07,10,90
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0121,0.00547,3.04,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03762,0.04747,10.31,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00875,0.00243,2.12,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01278,0.0041,3.13,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01388,0.00712,3.7,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0402,0.05551,11.72,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01121,0.00436,2.88,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02142,0.05802,5.48,1,99
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02853,0.05209,7.47,1,99
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01111,0.01716,3.22,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01456,0.0159,3.95,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00961,0.00726,2.66,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01073,0.00307,2.56,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01708,0.01142,4.82,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.29049,0.9314,56.67,10,90
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01128,0.00634,3.48,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.83684,1.33764,168.4,40,60
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01204,0.00403,3.51,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.25497,1.49647,46.91,7,93
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01457,0.00981,3.76,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00768,0.00252,2.13,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03525,0.08434,9.9,1,99
2,16x16,,2374,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01491,0.0095,3.73,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03082,0.04646,9.35,0,100
2,16x16,,2383,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00845,0.00195,2.54,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01782,0.02868,5.75,0,100
2,16x16,,2390,,10,4,0.9,0.9,0.005,50,1,20.0,95.0,0.392,1.81017,78.74,8,87
2,16x16,,2395,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01048,0.00223,3.0,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.55924,0.92499,111.97,36,64
2,16x16,,2407,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01061,0.02044,3.42,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03402,0.04947,9.56,0,100
2,16x16,,2418,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0108,0.0048,2.88,0,100
2,16x16,,2435,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03061,0.03769,7.87,0,100
2,16x16,,2436,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01712,0.0074,4.97,0,100
2,16x16,,2443,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.07359,0.25449,17.89,3,97
2,16x16,,2446,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00785,0.00446,2.06,0,100
2,16x16,,2448,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.09425,0.16374,25.19,6,94
2,16x16,,2449,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01155,0.00251,2.66,0,100
2,16x16,,2451,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00718,0.00436,2.15,0,100
2,16x16,,2452,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01752,0.01953,5.0,0,100
2,16x16,,2454,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03833,0.145,9.1,2,98
2,16x16,,2456,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00931,0.00334,2.44,0,100
2,16x16,,2467,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00999,0.00595,3.31,0,100
2,16x16,,2468,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02212,0.04836,5.23,0,100
2,16x16,,2471,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01477,0.0102,3.87,0,100
2,16x16,,2475,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01444,0.00559,3.9,0,100
2,16x16,,2477,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01308,0.02688,3.58,0,100
2,16x16,,2478,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01134,0.00235,3.23,0,100
2,16x16,,2483,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02276,0.03103,6.9,0,100
2,16x16,,2491,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01171,0.00504,3.65,0,100
2,16x16,,2507,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01603,0.02637,4.71,0,100
2,16x16,,2522,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.15346,0.28973,34.33,10,90
2,16x16,,2525,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.23933,1.12856,49.91,8,92
2,16x16,,2526,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.14761,0.39019,33.14,10,90
2,16x16,,2534,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01069,0.00553,3.26,0,100
2,16x16,,2536,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01045,0.00286,3.2,0,100
2,16x16,,2544,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01548,0.00718,3.68,0,100
2,16x16,,2558,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01652,0.03259,5.52,0,100
2,16x16,,2561,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01297,0.00931,3.84,0,100
2,16x16,,2563,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01483,0.00594,4.07,0,100
2,16x16,,2567,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01213,0.00529,3.17,0,100
2,16x16,,2570,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.13396,0.35193,25.69,11,89
2,16x16,,2571,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01482,0.00493,3.4,0,100
2,16x16,,2572,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01725,0.01532,4.48,0,100
2,16x16,,2590,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01964,0.02101,4.97,0,100
2,16x16,,2602,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.13043,0.28363,28.6,8,92
2,16x16,,2623,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03911,0.05472,11.01,0,100
2,16x16,,2669,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.03103,0.02242,8.09,0,100
2,16x16,,2686,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.23785,0.47011,50.33,17,83
2,16x16,,2733,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02643,0.01843,7.94,0,100
2,16x16,,2747,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.04568,0.07887,12.42,1,99
2,16x16,,2755,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.11749,0.25787,27.35,7,93
2,16x16,,2756,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.04145,0.06485,11.08,1,99
2,16x16,,2778,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00975,0.00443,2.61,0,100
2,16x16,,2779,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0086,0.0217,2.38,0,100
2,16x16,,2851,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.1428,0.26026,37.88,7,93
2,16x16,,2862,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.05222,0.23976,11.94,3,97
2,16x16,,2875,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02002,0.01315,4.78,0,100
2,16x16,,2904,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02841,0.0339,7.09,0,100
2,16x16,,2910,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02861,0.05224,7.47,0,100
2,16x16,,2924,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0114,0.00484,3.25,0,100
2,16x16,,2933,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00885,0.00245,2.52,0,100
2,16x16,,2935,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00842,0.00272,2.78,0,100
2,16x16,,2940,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01077,0.00632,3.22,0,100
2,16x16,,2943,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.00856,0.00977,2.69,0,100
2,16x16,,2964,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01233,0.00397,3.64,0,100
2,16x16,,2971,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02267,0.01242,5.54,0,100
2,16x16,,2973,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.02878,0.03009,8.93,0,100
2,16x16,,2978,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.01353,0.00607,3.65,0,100
2,16x16,,2985,,10,4,0.9,0.9,0.005,50,1,20.0,100.0,0.0439,0.05762,11.71,0,100
