alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01672,0.00948,3.8,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02465,0.02016,5.57,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01152,0.00474,3.36,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01833,0.02859,4.35,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02055,0.01961,3.96,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.08319,0.16618,15.3,3,97
2,16x16,,2230,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01812,0.03104,4.72,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02406,0.06515,5.34,1,99
2,16x16,,2234,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02651,0.04774,6.76,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14028,0.27835,21.34,8,92
2,16x16,,2251,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01405,0.00671,2.91,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05907,0.08834,9.0,1,99
2,16x16,,2265,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01626,0.01398,1.96,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0162,0.00608,3.33,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0213,0.01896,3.8,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05979,0.11194,11.6,1,99
2,16x16,,2291,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01299,0.00592,2.43,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01602,0.00945,3.58,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03619,0.07409,6.89,1,99
2,16x16,,2300,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01058,0.00301,2.66,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01818,0.01385,3.79,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0113,0.00751,2.44,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01913,0.00874,2.43,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02118,0.01499,4.66,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.38415,0.84764,54.52,12,88
2,16x16,,2350,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01504,0.02692,4.14,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.78931,1.76096,122.15,27,73
2,16x16,,2355,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01235,0.00558,3.16,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14893,0.84891,21.98,5,95
2,16x16,,2367,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01969,0.03502,4.04,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00911,0.00288,2.21,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07761,0.15986,15.97,3,97
2,16x16,,2374,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02354,0.02809,4.73,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0434,0.05995,8.84,0,100
2,16x16,,2383,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01172,0.00516,2.53,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02871,0.0533,7.73,0,100
2,16x16,,2390,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,98.0,0.37467,1.34177,56.19,8,90
2,16x16,,2395,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01652,0.00734,3.14,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.89157,1.45318,136.39,36,64
2,16x16,,2407,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00939,0.00615,2.79,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03612,0.06535,9.7,1,99
2,16x16,,2418,,10,4,0.9,0.9,0.0075,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01137,0.00996,3.09,0,100
