alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01312,0.00686,3.7,0,100
2,16x16,,2205,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02126,0.01388,5.42,0,100
2,16x16,,2211,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01132,0.00391,3.46,0,100
2,16x16,,2214,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01335,0.00697,4.05,0,100
2,16x16,,2223,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01675,0.01088,3.47,0,100
2,16x16,,2228,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.04802,0.06515,12.09,0,100
2,16x16,,2230,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01318,0.00613,3.63,0,100
2,16x16,,2233,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0259,0.02523,7.17,0,100
2,16x16,,2234,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02084,0.01321,5.34,0,100
2,16x16,,2237,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.03395,0.05586,7.01,0,100
2,16x16,,2251,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01287,0.00519,3.27,0,100
2,16x16,,2256,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.03922,0.0382,9.96,0,100
2,16x16,,2265,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0091,0.00277,2.11,0,100
2,16x16,,2280,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01699,0.01017,3.85,0,100
2,16x16,,2281,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01113,0.00558,3.29,0,100
2,16x16,,2288,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02526,0.02244,7.62,0,100
2,16x16,,2291,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00957,0.00679,2.09,0,100
2,16x16,,2292,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01434,0.00815,3.98,0,100
2,16x16,,2297,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02379,0.02325,6.87,0,100
2,16x16,,2300,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00818,0.00314,2.59,0,100
2,16x16,,2314,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01804,0.01676,5.12,0,100
2,16x16,,2330,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01384,0.02458,4.24,0,100
2,16x16,,2333,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00954,0.00242,2.39,0,100
2,16x16,,2338,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01583,0.00783,4.54,0,100
2,16x16,,2349,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.13933,0.18635,31.43,6,94
2,16x16,,2350,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01091,0.00461,3.64,0,100
2,16x16,,2354,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.23318,0.35695,53.79,15,85
2,16x16,,2355,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01181,0.00414,3.5,0,100
2,16x16,,2357,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.03574,0.04874,8.9,0,100
2,16x16,,2367,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01262,0.00497,3.47,0,100
2,16x16,,2370,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00738,0.00192,2.14,0,100
2,16x16,,2371,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.04535,0.05923,13.76,0,100
2,16x16,,2374,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01399,0.00704,3.87,0,100
2,16x16,,2379,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.03091,0.02492,10.45,0,100
2,16x16,,2383,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00795,0.00239,2.37,0,100
2,16x16,,2388,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01409,0.0329,4.37,0,100
2,16x16,,2390,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.09059,0.24986,22.76,5,95
2,16x16,,2395,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.009,0.0022,2.57,0,100
2,16x16,,2405,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.27815,0.45659,62.15,21,79
2,16x16,,2407,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00932,0.00475,3.35,0,100
2,16x16,,2411,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02541,0.02664,7.87,0,100
2,16x16,,2418,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01178,0.00611,3.26,0,100
2,16x16,,2435,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01634,0.01389,4.26,0,100
2,16x16,,2436,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01529,0.00677,4.68,0,100
2,16x16,,2443,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.08143,0.12954,22.54,4,96
2,16x16,,2446,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00641,0.00168,1.82,0,100
2,16x16,,2448,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.05067,0.07501,14.86,0,100
2,16x16,,2449,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01314,0.00339,2.69,0,100
2,16x16,,2451,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01044,0.02385,3.0,0,100
2,16x16,,2452,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01746,0.01242,5.44,0,100
2,16x16,,2454,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01246,0.02289,3.66,0,100
2,16x16,,2456,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01055,0.00346,3.08,0,100
2,16x16,,2467,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00989,0.00737,3.58,0,100
2,16x16,,2468,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00895,0.00304,2.34,0,100
2,16x16,,2471,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01234,0.00828,3.68,0,100
2,16x16,,2475,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01434,0.00646,4.25,0,100
2,16x16,,2477,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00912,0.00316,2.48,0,100
2,16x16,,2478,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01167,0.00324,3.39,0,100
2,16x16,,2483,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01921,0.01503,5.75,0,100
2,16x16,,2491,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01023,0.00374,3.44,0,100
2,16x16,,2507,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01246,0.00837,3.84,0,100
2,16x16,,2522,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.04977,0.06007,12.57,0,100
2,16x16,,2525,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0767,0.11971,20.67,4,96
2,16x16,,2526,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.08242,0.16531,20.34,5,95
2,16x16,,2534,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00855,0.00254,2.83,0,100
2,16x16,,2536,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00955,0.00272,3.03,0,100
2,16x16,,2544,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0127,0.00721,3.29,0,100
2,16x16,,2558,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0203,0.03827,7.41,0,100
2,16x16,,2561,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01072,0.00337,3.3,0,100
2,16x16,,2563,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01335,0.00735,3.77,0,100
2,16x16,,2567,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01379,0.00844,3.8,0,100
2,16x16,,2570,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01412,0.02253,3.43,0,100
2,16x16,,2571,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01517,0.00821,3.67,0,100
2,16x16,,2572,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01539,0.00994,4.67,0,100
2,16x16,,2590,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.0151,0.01152,4.49,0,100
2,16x16,,2602,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.04873,0.09221,12.42,1,99
2,16x16,,2623,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.05049,0.08653,14.65,2,98
2,16x16,,2669,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.03393,0.0339,9.56,0,100
2,16x16,,2686,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.10911,0.21785,27.18,9,91
2,16x16,,2733,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02079,0.01153,6.6,0,100
2,16x16,,2747,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02688,0.03796,7.91,0,100
2,16x16,,2755,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.06046,0.12187,16.35,2,98
2,16x16,,2756,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.07245,0.14491,19.73,1,99
2,16x16,,2778,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00876,0.00331,2.47,0,100
2,16x16,,2779,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00924,0.02174,2.66,0,100
2,16x16,,2851,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.06401,0.07949,19.84,1,99
2,16x16,,2862,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01838,0.01798,5.54,0,100
2,16x16,,2875,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02267,0.01391,5.84,0,100
2,16x16,,2904,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02123,0.01293,5.61,0,100
2,16x16,,2910,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02453,0.05918,6.91,1,99
2,16x16,,2924,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01161,0.00629,3.34,0,100
2,16x16,,2933,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00822,0.00413,2.39,0,100
2,16x16,,2935,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.008,0.00463,2.52,0,100
2,16x16,,2940,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01017,0.00421,3.3,0,100
2,16x16,,2943,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.00978,0.00703,3.36,0,100
2,16x16,,2964,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01175,0.00522,3.38,0,100
2,16x16,,2971,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02165,0.01208,5.61,0,100
2,16x16,,2973,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02645,0.02765,8.83,0,100
2,16x16,,2978,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.01477,0.00747,4.16,0,100
2,16x16,,2985,,10,4,0.3,0.9,0.005,50,1,20.0,100.0,0.02586,0.04916,6.76,1,99
