alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03635,0.02379,4.57,0,100
2,16x16,,2205,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.04419,0.02635,5.5,0,100
2,16x16,,2211,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02255,0.00816,3.72,0,100
2,16x16,,2214,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02192,0.01288,4.16,0,100
2,16x16,,2223,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.0224,0.01497,3.94,0,100
2,16x16,,2228,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.16497,0.24639,22.78,4,96
2,16x16,,2230,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03177,0.07591,5.48,1,99
2,16x16,,2233,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.0588,0.18996,7.62,1,99
2,16x16,,2234,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.05213,0.06223,6.89,0,100
2,16x16,,2237,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.2388,0.69685,24.32,8,92
2,16x16,,2251,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01881,0.01535,3.13,0,100
2,16x16,,2256,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.12594,0.25325,16.49,2,98
2,16x16,,2265,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01245,0.00438,1.94,0,100
2,16x16,,2280,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.0182,0.01229,3.26,0,100
2,16x16,,2281,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01838,0.00898,3.51,0,100
2,16x16,,2288,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.08212,0.15303,12.49,1,99
2,16x16,,2291,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01451,0.00526,2.51,0,100
2,16x16,,2292,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03411,0.06257,5.64,0,100
2,16x16,,2297,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.07894,0.12266,8.02,0,100
2,16x16,,2300,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02569,0.01166,2.87,0,100
2,16x16,,2314,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03978,0.03354,3.92,0,100
2,16x16,,2330,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02884,0.03424,3.2,0,100
2,16x16,,2333,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03646,0.02938,2.64,0,100
2,16x16,,2338,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03979,0.02832,5.07,0,100
2,16x16,,2349,,10,4,0.9,0.3,0.005,50,1,20.0,97.0,0.67231,1.37181,56.05,17,80
2,16x16,,2350,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01773,0.00733,3.71,0,100
2,16x16,,2354,,10,4,0.9,0.3,0.005,50,1,20.0,85.0,1.85106,3.50995,231.69,39,46
2,16x16,,2355,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01176,0.00385,3.23,0,100
2,16x16,,2357,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.23174,1.16224,42.06,10,90
2,16x16,,2367,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.032,0.15793,6.85,1,99
2,16x16,,2370,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.00833,0.00311,2.17,0,100
2,16x16,,2371,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.05586,0.10466,14.04,1,99
2,16x16,,2374,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02429,0.05099,5.73,0,100
2,16x16,,2379,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.04504,0.1052,11.84,2,98
2,16x16,,2383,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01705,0.07518,4.22,1,99
2,16x16,,2388,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.05673,0.14035,15.36,2,98
2,16x16,,2390,,10,4,0.9,0.3,0.005,50,1,20.0,89.0,0.10224,0.2244,20.52,8,81
2,16x16,,2395,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01943,0.03589,2.83,0,100
2,16x16,,2405,,10,4,0.9,0.3,0.005,50,1,20.0,99.0,2.02852,3.72041,305.97,49,50
2,16x16,,2407,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01004,0.00742,2.7,0,100
2,16x16,,2411,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.08798,0.18446,17.68,3,97
2,16x16,,2418,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01388,0.01082,3.24,0,100
2,16x16,,2435,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.04953,0.09297,10.35,1,99
2,16x16,,2436,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02399,0.01521,5.69,0,100
2,16x16,,2443,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.28713,0.91139,46.66,12,88
2,16x16,,2446,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.00879,0.00214,1.93,0,100
2,16x16,,2448,,10,4,0.9,0.3,0.005,50,1,20.0,99.0,0.39911,1.21095,75.23,16,83
2,16x16,,2449,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.0138,0.00372,2.63,0,100
2,16x16,,2451,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.00826,0.00464,2.13,0,100
2,16x16,,2452,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02345,0.01854,6.07,0,100
2,16x16,,2454,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02638,0.1541,5.32,1,99
2,16x16,,2456,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01528,0.03582,3.17,0,100
2,16x16,,2467,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01166,0.00545,3.4,0,100
2,16x16,,2468,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01689,0.01339,3.75,0,100
2,16x16,,2471,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.02385,0.06307,5.29,1,99
2,16x16,,2475,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01592,0.00462,3.82,0,100
2,16x16,,2477,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01261,0.01141,2.92,0,100
2,16x16,,2478,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01453,0.00863,3.19,0,100
2,16x16,,2483,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.03159,0.06865,7.54,1,99
2,16x16,,2491,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.01412,0.00584,3.7,0,100
2,16x16,,2507,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.0208,0.03619,4.91,0,100
2,16x16,,2522,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.22535,0.31437,41.19,19,81
2,16x16,,2525,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.54259,2.13707,88.9,11,89
2,16x16,,2526,,10,4,0.9,0.3,0.005,50,1,20.0,100.0,0.52298,1.68573,88.55,17,83
