alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01523,0.01053,4.13,0,100
2,16x16,,2205,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02328,0.03413,6.16,0,100
2,16x16,,2211,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01053,0.00322,3.54,0,100
2,16x16,,2214,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0161,0.01454,4.22,0,100
2,16x16,,2223,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01884,0.01156,4.19,0,100
2,16x16,,2228,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.08911,0.17891,18.36,2,98
2,16x16,,2230,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02421,0.06116,5.43,0,100
2,16x16,,2233,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02229,0.05259,5.34,0,100
2,16x16,,2234,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02063,0.01353,5.37,0,100
2,16x16,,2237,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14171,0.28426,25.13,11,89
2,16x16,,2251,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01297,0.00723,3.01,0,100
2,16x16,,2256,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.08416,0.13869,17.82,3,97
2,16x16,,2265,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00879,0.00473,1.93,0,100
2,16x16,,2280,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01165,0.00279,2.98,0,100
2,16x16,,2281,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01216,0.00425,3.48,0,100
2,16x16,,2288,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04788,0.068,10.43,0,100
2,16x16,,2291,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01476,0.01018,2.85,0,100
2,16x16,,2292,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03093,0.08319,6.41,1,99
2,16x16,,2297,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04397,0.08502,9.54,1,99
2,16x16,,2300,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.00994,0.00307,2.7,0,100
2,16x16,,2314,,10,4,0.9,0.5,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01445,0.00745,3.65,0,100
