alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.02131,0.01797,4.46,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.02448,0.02271,5.53,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01622,0.01516,3.39,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.02014,0.01884,4.41,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01499,0.00721,3.95,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.05596,0.06048,14.62,11,89
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01287,0.00756,3.77,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.02121,0.04715,5.71,3,97
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01926,0.01497,5.97,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.08652,0.13054,18.21,20,80
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01006,0.00466,2.89,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.03392,0.03543,9.21,2,98
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.00798,0.00239,1.95,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.0128,0.00519,3.34,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01343,0.01465,3.9,1,99
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.03755,0.04558,10.26,3,97
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01085,0.00497,2.84,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.03261,0.12532,7.59,3,97
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.02472,0.02794,6.8,2,98
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.00905,0.003,2.82,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01438,0.01354,3.83,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.00844,0.00673,2.52,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01036,0.00266,2.43,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01501,0.00751,4.32,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.27306,0.59761,50.35,26,74
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01156,0.00466,3.83,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,1.85759,3.43185,259.31,59,41
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01199,0.00301,3.18,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.15215,1.03428,23.64,7,93
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01578,0.00598,3.42,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01028,0.00533,2.22,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.07601,0.15033,15.16,9,91
2,16x16,,2374,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01657,0.01007,4.14,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.03091,0.04625,9.18,4,96
2,16x16,,2383,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.00886,0.00377,2.5,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.01982,0.03666,6.52,2,98
2,16x16,,2390,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,88.0,0.23836,1.18595,41.9,6,82
2,16x16,,2395,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,40,10,200,20.0,100.0,0.0104,0.00258,2.89,0,100
